filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2007-02-28,2006-11-08,2007-05-08,0.644464316342,0.614458576246,0.585249475838,0.390177782855,0.769458220376,0.781612714271,0.751806999128,0.55607844168,445,78,101,258,336,1056,112,144,846,621,1861,44,45,1222,715,42006,7756,9795,25142,26335
2007-05-08,2007-02-28,2007-08-08,0.728511235293,0.662993554685,0.237222377724,0.597916337671,0.897301982277,0.832020560538,0.421652194432,0.752836066341,78,101,258,336,53,112,144,846,621,78,44,45,1222,715,33,7756,9795,25142,26335,6904
2007-08-08,2007-05-08,2007-11-07,0.474409467705,0.23479517407,0.432368755043,0.458202611532,0.667289462546,0.460041989108,0.652013185699,0.632866161092,101,258,336,53,172,144,846,621,78,336,45,1222,715,33,534,9795,25142,26335,6904,14466
2007-11-07,2007-08-08,2008-02-22,0.283473041151,0.530250512246,0.621661131632,0.465851646567,0.486211973891,0.713406147541,0.754581613549,0.660439125919,258,336,53,172,119,846,621,78,336,168,1222,715,33,534,264,25142,26335,6904,14466,11861
2008-02-22,2007-11-07,2008-05-07,0.689127733734,0.45225141364,0.737604631132,0.528266833385,0.839012295817,0.601147536105,0.812997944953,0.682824153477,336,53,172,119,463,621,78,336,168,1261,715,33,534,264,1549,26335,6904,14466,11861,38221
2008-05-07,2008-02-22,2008-08-06,0.687991549956,0.451844987592,0.575694928334,0.499781269619,0.86729691598,0.675763197585,0.766582687028,0.664132570553,53,172,119,463,89,78,336,168,1261,87,33,534,264,1549,141,6904,14466,11861,38221,7332
2008-08-06,2008-05-07,2008-11-05,0.494832013265,0.54369190985,0.659834865051,0.638799450023,0.707894261096,0.741027922128,0.798891033756,0.800949570855,172,119,463,89,136,336,168,1261,87,301,534,264,1549,141,319,14466,11861,38221,7332,11764
2008-11-05,2008-08-06,2009-02-20,0.689154212277,0.420668142338,0.695961213407,0.646001266543,0.827492791064,0.578872090016,0.843854879834,0.794492788599,119,463,89,136,106,168,1261,87,301,119,264,1549,141,319,64,11861,38221,7332,11764,8448
2009-02-20,2008-11-05,2009-05-07,0.475628285969,0.330473349084,0.367173551687,0.292497374771,0.626680404568,0.48848541867,0.536490555696,0.438423229154,463,89,136,106,713,1261,87,301,119,2093,1549,141,319,64,3706,38221,7332,11764,8448,68015
2009-05-07,2009-02-20,2009-08-05,0.553982447383,0.642012292107,0.479950675907,0.383839846498,0.717967517554,0.77602034982,0.630420261409,0.546740432886,89,136,106,713,158,87,301,119,2093,372,141,319,64,3706,531,7332,11764,8448,68015,14382
2009-08-05,2009-05-07,2009-11-04,0.664948150677,0.607118025632,0.435734390119,0.490694170446,0.809791190389,0.794956099911,0.579710788576,0.638455289647,136,106,713,158,109,301,119,2093,372,153,319,64,3706,531,204,11764,8448,68015,14382,10126
2009-11-04,2009-08-05,2010-02-25,0.785635730701,0.301647960831,0.484662518101,0.670936202462,0.916947356418,0.463599966485,0.634034127466,0.846102246606,106,713,158,109,118,119,2093,372,153,164,64,3706,531,204,152,8448,68015,14382,10126,9776
2010-02-25,2009-11-04,2010-05-05,0.487441567842,0.632196304528,0.539619208324,0.564788867984,0.635292095962,0.764864371788,0.704398726158,0.704749048663,713,158,109,118,390,2093,372,153,164,894,3706,531,204,152,913,68015,14382,10126,9776,29978
2010-05-05,2010-02-25,2010-08-05,0.670610780945,0.520668653022,0.540539469673,0.604664985898,0.814148657634,0.727413584443,0.736312554936,0.767014946155,158,109,118,390,109,372,153,164,894,247,531,204,152,913,314,14382,10126,9776,29978,10121
2010-08-05,2010-05-05,2010-11-03,0.1348540194,0.109016221614,0.11191570572,0.104742953348,0.205262367988,0.188131007536,0.178229300021,0.176709463262,109,118,390,109,209,153,164,894,247,4164,204,152,913,314,519,10126,9776,29978,10121,28173
