filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-08-12,1995-03-31,0.197178827207,0.130698067868,0.32639647602,0.527799786763,0.527414394442,0.29127918411,0.532399494907,0.733963073241,44,3,165,16,25,48,1,505,18,40,64,9,1548,16,176,4768,197,23089,2308,4199
1995-03-31,1994-11-14,1995-04-07,0.0939665539992,0.136998637871,0.356852280509,0.318718378301,0.210656087346,0.315845969436,0.699437792975,0.643707329472,3,165,16,25,97,1,505,18,40,88,9,1548,16,176,74,197,23089,2308,4199,8192
1995-04-07,1995-03-31,1995-05-15,0.0657861369042,0.153493293366,0.127127047613,0.150947019877,0.165099370564,0.366821760944,0.321169121524,0.34421833204,165,16,25,97,3,505,18,40,88,5,1548,16,176,74,8,23089,2308,4199,8192,362
1995-05-15,1995-04-07,1995-08-14,0.502940478308,0.397152223425,0.386681622245,0.249021449372,0.814094835367,0.706533090018,0.740910953344,0.444677720965,16,25,97,3,28,18,40,88,5,34,16,176,74,8,21,2308,4199,8192,362,2547
1995-08-14,1995-05-15,1995-11-13,0.401952695902,0.383684816255,0.206448978095,0.607335808887,0.682455835995,0.712760603952,0.408568158503,0.859230421714,25,97,3,28,37,40,88,5,34,32,176,74,8,21,18,4199,8192,362,2547,3014
1995-11-13,1995-08-14,1996-01-31,0.375556570556,0.193544715309,0.561134329421,0.71472694109,0.707318434937,0.375970095093,0.835817769254,0.887606738372,97,3,28,37,49,88,5,34,32,44,74,8,21,18,16,8192,362,2547,3014,3471
1996-01-31,1995-11-13,1996-03-29,0.180593333111,0.271829334543,0.316495033855,0.457795240483,0.387026290619,0.570495251652,0.594873732711,0.653870567821,3,28,37,49,5,5,34,32,44,6,8,21,18,16,9,362,2547,3014,3471,650
1996-03-29,1996-01-31,1996-04-12,0.213686839372,0.225277756657,0.241944898781,0.128526684248,0.356007880384,0.363562263968,0.384442554546,0.283445118249,28,37,49,5,223,34,32,44,6,410,21,18,16,9,720,2547,3014,3471,650,19867
1996-04-12,1996-03-29,1996-05-15,0.322021703927,0.358931802877,0.209415467028,0.345549000557,0.565183252297,0.596697874615,0.433539151955,0.472224162282,37,49,5,223,55,32,44,6,410,52,18,16,9,720,11,3014,3471,650,19867,2737
1996-05-15,1996-04-12,1996-05-20,0.398969020099,0.230680320686,0.31826425637,0.499901836357,0.635514918578,0.477338353665,0.469462643622,0.76539586186,49,5,223,55,30,44,6,410,52,27,16,9,720,11,28,3471,650,19867,2737,3696
1996-05-20,1996-05-15,1996-05-21,0.127754523376,0.991752027175,0.358509500008,0.318733933254,0.279926021845,0.997637068455,0.47886930499,0.470127872738,5,223,55,30,239,6,410,52,27,429,9,720,11,28,744,650,19867,2737,3696,20252
1996-05-21,1996-05-20,1996-08-14,0.127616608363,0.204635425088,0.169212972129,0.129897063224,0.249644644984,0.332535556107,0.352951023532,0.244490678512,223,55,30,239,2,410,52,27,429,1,720,11,28,744,12,19867,2737,3696,20252,284
1996-08-14,1996-05-21,1996-10-31,0.151132045496,0.222383578379,0.23371561644,0.105584504685,0.288435026368,0.355786243681,0.374927140758,0.249375937914,55,30,239,2,242,52,27,429,1,765,11,28,744,12,2160,2737,3696,20252,284,33512
1996-10-31,1996-08-14,1997-03-31,0.669356727224,0.307298342358,0.158359451934,0.218573230461,0.860499895334,0.459074058351,0.325544233417,0.340892540703,30,239,2,242,34,27,429,1,765,42,28,744,12,2160,22,3696,20252,284,33512,4796
1997-03-31,1996-10-31,1997-05-15,0.483146575983,0.171141599964,0.38812955146,0.395986078983,0.634149172389,0.371011223988,0.586647976466,0.613192279404,239,2,242,34,324,429,1,765,42,1025,744,12,2160,22,1723,20252,284,33512,4796,36271
1997-05-15,1997-03-31,1997-08-14,0.169909942982,0.276849405967,0.456271399213,0.445053240439,0.374334964098,0.466808955973,0.683148008901,0.72530176234,2,242,34,324,70,1,765,42,1025,99,12,2160,22,1723,314,284,33512,4796,36271,7876
1997-08-14,1997-05-15,1997-11-14,0.326079966415,0.366574663673,0.700813978106,0.390062236152,0.55550862913,0.652348614765,0.862585891782,0.702865202173,242,34,324,70,105,765,42,1025,99,307,2160,22,1723,314,540,33512,4796,36271,7876,11904
1997-11-14,1997-08-14,1998-03-31,0.187410984545,0.320682101448,0.295123764422,0.235128029218,0.311880416787,0.525524600629,0.478418922753,0.448308288799,34,324,70,105,469,42,1025,99,307,1608,22,1723,314,540,3559,4796,36271,7876,11904,53858
1998-03-31,1997-11-14,1998-05-15,0.541457909473,0.504445607334,0.411886550892,0.273103561435,0.765100138999,0.737651625173,0.708854593753,0.409362018262,324,70,105,469,182,1025,99,307,1608,233,1723,314,540,3559,150,36271,7876,11904,53858,16055
1998-05-15,1998-03-31,1998-08-14,0.280138890348,0.927423490412,0.210711466385,0.297873856113,0.611097839669,0.939524971123,0.4462654676,0.592381881339,70,105,469,182,150,99,307,1608,233,524,314,540,3559,150,1044,7876,11904,53858,16055,17671
1998-08-14,1998-05-15,1998-11-16,0.396375216977,0.23546871296,0.552818813344,0.31065610215,0.730538290634,0.393905028784,0.783464614605,0.615465195191,105,469,182,150,53,307,1608,233,524,54,540,3559,150,1044,140,11904,53858,16055,17671,6235
1998-11-16,1998-08-14,1999-03-18,0.193155654375,0.591839489681,0.294379807237,0.689096701045,0.324778571375,0.814911158715,0.57288999244,0.848136396467,469,182,150,53,42,1608,233,524,54,40,3559,150,1044,140,28,53858,16055,17671,6235,5602
1999-03-18,1998-11-16,1999-05-17,0.522852495905,0.279897495094,0.373406886547,0.35720864974,0.69636675006,0.580986654424,0.58739243771,0.545699258352,182,150,53,42,594,233,524,54,40,1503,150,1044,140,28,2599,16055,17671,6235,5602,54474
1999-05-17,1999-03-18,1999-08-13,0.280937704492,0.553538057768,0.635809023561,0.370310235544,0.57724753348,0.801884091113,0.863423963844,0.561301286079,150,53,42,594,42,524,54,40,1503,56,1044,140,28,2599,29,17671,6235,5602,54474,5033
1999-08-13,1999-05-17,1999-11-12,0.466301496075,0.441310850292,0.35514819997,0.529417421768,0.692552874235,0.662771777594,0.548954143448,0.697836814788,53,42,594,42,94,54,40,1503,56,170,140,28,2599,29,267,6235,5602,54474,5033,8813
1999-11-12,1999-08-13,2000-03-28,0.273798002653,0.586684447664,0.290196695779,0.381550593185,0.440635481531,0.732497553731,0.452493814739,0.587028908316,42,594,42,94,358,40,1503,56,170,932,28,2599,29,267,2112,5602,54474,5033,8813,35626
2000-03-28,1999-11-12,2000-05-12,0.624786084483,0.386525696154,0.448190587994,0.40430085153,0.747819884515,0.637558955343,0.765897558536,0.638927457582,594,42,94,358,383,1503,56,170,932,787,2599,29,267,2112,1324,54474,5033,8813,35626,34622
2000-05-12,2000-03-28,2000-08-11,0.582810825709,0.558325516277,0.295541565484,0.473847834436,0.769094716012,0.819056519878,0.457958114488,0.738415414689,42,94,358,383,51,56,170,932,787,33,29,267,2112,1324,30,5033,8813,35626,34622,4852
2000-08-11,2000-05-12,2000-11-14,0.333803737937,0.753084686771,0.301562297373,0.288401297616,0.574358005395,0.826317678965,0.539684185503,0.450372508924,94,358,383,51,234,170,932,787,33,751,267,2112,1324,30,1613,8813,35626,34622,4852,27951
2000-11-14,2000-08-11,2001-03-15,0.294895954813,0.438503746221,0.7169728063,0.280450146317,0.462980754888,0.711863724767,0.904527274898,0.449973450681,358,383,51,234,65,932,787,33,751,57,2112,1324,30,1613,48,35626,34622,4852,27951,6286
2001-03-15,2000-11-14,2001-05-15,0.509360267461,0.456553697521,0.804989120947,0.453081212083,0.77635679549,0.691111236942,0.851715095681,0.678520150335,383,51,234,65,373,787,33,751,57,875,1324,30,1613,48,1553,34622,4852,27951,6286,36587
2001-05-15,2001-03-15,2001-08-14,0.51959455732,0.243759014783,0.488163532111,0.390222878392,0.807609067504,0.470559040077,0.764180015473,0.673008368272,51,234,65,373,54,33,751,57,875,241,30,1613,48,1553,320,4852,27951,6286,36587,9626
2001-08-14,2001-05-15,2001-11-14,0.284536413694,0.694810411813,0.4535152954,0.600827283194,0.454356391854,0.886144731717,0.666488276658,0.813154932308,234,65,373,54,48,751,57,875,241,91,1613,48,1553,320,45,27951,6286,36587,9626,6431
2001-11-14,2001-08-14,2002-03-29,0.26044084842,0.418528047971,0.250478303794,0.285839016752,0.458484958332,0.644245041847,0.492838546442,0.457684668338,65,373,54,48,364,57,875,241,91,858,48,1553,320,45,1108,6286,36587,9626,6431,31244
