filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-04-01,1995-11-14,1996-05-15,0.68376971289,0.24488887629,0.446028583014,0.341846857383,0.816706679966,0.455782660496,0.660712170791,0.546869461135,424,20,62,137,508,886,25,91,252,1303,1550,26,134,222,2255,31990,2744,4686,8368,42767
1996-05-15,1996-04-01,1996-08-14,0.556277580468,0.436841602973,0.313133747937,0.331500732395,0.815665065536,0.67769490944,0.539421387237,0.539687657227,20,62,137,508,36,25,91,252,1303,101,26,134,222,2255,55,2744,4686,8368,42767,3626
1996-08-14,1996-05-15,1996-11-14,0.460757473504,0.319916326408,0.322829772787,0.828956602385,0.693749172758,0.544047165191,0.518074040969,0.942503860682,62,137,508,36,36,91,252,1303,101,118,134,222,2255,55,68,4686,8368,42767,3626,4017
1996-11-14,1996-08-14,1997-03-28,0.773497656427,0.388549279312,0.657338142035,0.737013567731,0.866643579611,0.594714469204,0.826787340362,0.852142086509,137,508,36,36,67,252,1303,101,118,190,222,2255,55,68,131,8368,42767,3626,4017,5839
1997-03-28,1996-11-14,1997-05-15,0.557143680415,0.340370063233,0.351273862135,0.423814079821,0.777319275908,0.60472322952,0.594844168589,0.646424886893,508,36,36,67,405,1303,101,118,190,1071,2255,55,68,131,2262,42767,3626,4017,5839,36712
1997-05-15,1997-03-28,1997-06-16,0.603918923744,0.596399329733,0.569887569567,0.350559107322,0.855817643018,0.846930203467,0.806629901767,0.624480581225,36,36,67,405,82,101,118,190,1071,127,55,68,131,2262,102,3626,4017,5839,36712,5217
1997-06-16,1997-05-15,1997-08-14,0.119433587914,0.15024965515,0.889721077124,0.135191423629,0.272273889183,0.304720682581,0.877816629857,0.316294473677,36,67,405,82,196,118,190,1071,127,711,68,131,2262,102,1593,4017,5839,36712,5217,19386
1997-08-14,1997-06-16,1997-11-14,0.369960324721,0.381063151194,0.371439920002,0.200013296581,0.656098940787,0.629622513173,0.630223724919,0.370404383752,67,405,82,196,101,190,1071,127,711,221,131,2262,102,1593,485,5839,36712,5217,19386,10436
1997-11-14,1997-08-14,1998-03-27,0.39751077219,0.609184803541,0.169559329968,0.536180491018,0.631681217966,0.831958832862,0.304591707687,0.779396630884,405,82,196,101,52,1071,127,711,221,153,2262,102,1593,485,190,36712,5217,19386,10436,5031
1998-03-27,1997-11-14,1998-05-15,0.526035860743,0.276431938045,0.355360933886,0.466863657646,0.750454781705,0.515503021619,0.612131901847,0.70914989511,82,196,101,52,244,127,711,221,153,423,102,1593,485,190,804,5217,19386,10436,5031,20718
