filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-08-14,1997-05-15,1997-11-12,0.493131843921,0.595899266029,0.335204039456,0.755472862362,0.753228733931,0.814234736554,0.515284427182,0.871963175486,61,70,487,54,55,222,171,1454,94,107,63,64,3008,48,60,4669,4636,47939,3975,4351
1997-11-12,1997-08-14,1998-03-31,0.661790980465,0.342283326688,0.79409182039,0.840977669086,0.869267301983,0.520861309507,0.913450522287,0.916654994678,70,487,54,55,61,171,1454,94,107,105,64,3008,48,60,67,4636,47939,3975,4351,4404
1998-03-31,1997-11-12,1998-05-14,0.569974282616,0.57762984668,0.552637510867,0.581912113782,0.730017142266,0.800306936955,0.741450853357,0.763836393515,487,54,55,61,268,1454,94,107,105,501,3008,48,60,67,635,47939,3975,4351,4404,19795
1998-05-14,1998-03-31,1998-08-14,0.741719118375,0.656468392546,0.735198935706,0.606129053153,0.928153390023,0.835183537634,0.888655658291,0.808039242124,54,55,61,268,55,94,107,105,501,111,48,60,67,635,64,3975,4351,4404,19795,4254
1998-08-14,1998-05-14,1998-11-13,0.447811777406,0.407740474561,0.410456015275,0.422850520899,0.613896094109,0.586953113136,0.626999812506,0.60201174005,55,61,268,55,163,107,105,501,111,323,60,67,635,64,408,4351,4404,19795,4254,13318
1998-11-13,1998-08-14,1999-03-31,0.236909139424,0.249187509188,0.248060648001,0.337157050548,0.425089394825,0.469405150481,0.447686503219,0.541000717735,61,268,55,163,236,105,501,111,323,1032,67,635,64,408,2047,4404,19795,4254,13318,27598
1999-03-31,1998-11-13,1999-05-17,0.787719630969,0.530800831395,0.478939562033,0.256879103051,0.918277344554,0.751608394958,0.706418615014,0.469808877855,268,55,163,236,374,501,111,323,1032,601,635,64,408,2047,637,19795,4254,13318,27598,25584
1999-05-17,1999-03-31,1999-05-18,0.614342112412,0.408784643934,0.237743927806,0.580118867732,0.856405408367,0.620186269022,0.441580841043,0.783733795819,55,163,236,374,60,111,323,1032,601,137,64,408,2047,637,75,4254,13318,27598,25584,5344
1999-05-18,1999-05-17,1999-06-02,0.122746026084,0.0839861969026,0.150593797633,0.166931724724,0.225305239659,0.189279679538,0.240960164254,0.248025148083,163,236,374,60,2,323,1032,601,137,2,408,2047,637,75,6,13318,27598,25584,5344,248
1999-06-02,1999-05-18,1999-08-13,0.259007145964,0.984984692789,0.581402299396,0.147773656285,0.472853241443,0.99463181614,0.786477039739,0.235265934735,236,374,60,2,394,1032,601,137,2,720,2047,637,75,6,771,27598,25584,5344,248,27639
1999-08-13,1999-06-02,1999-11-15,0.34921834745,0.257181017904,0.10245086305,0.361528885621,0.533745640736,0.428511898661,0.186209952847,0.541372780416,374,60,2,394,745,601,137,2,720,1371,637,75,6,771,2459,25584,5344,248,27639,35732
1999-11-15,1999-08-13,2000-03-30,0.525106260632,0.112928211757,0.568351459806,0.613216684001,0.768114185452,0.188733583338,0.78609745762,0.713470332876,60,2,394,745,285,137,2,720,1371,618,75,6,771,2459,580,5344,248,27639,35732,15095
2000-03-30,1999-11-15,2000-05-15,0.103308158347,0.429769587925,0.474843067293,0.487389681391,0.199865199521,0.652863074476,0.646083812012,0.682786934901,2,394,745,285,735,2,720,1371,618,1669,6,771,2459,580,3054,248,27639,35732,15095,58257
2000-05-15,2000-03-30,2000-08-11,0.540282909269,0.306524754227,0.665354557591,0.385403828239,0.760715831762,0.451283557979,0.830378032743,0.601599889299,394,745,285,735,139,720,1371,618,1669,257,771,2459,580,3054,141,27639,35732,15095,58257,6345
2000-08-11,2000-05-15,2000-11-14,0.316490281354,0.665757191542,0.373536759812,0.798276109106,0.448116550385,0.825008621391,0.576111477479,0.8920675121,745,285,735,139,183,1371,618,1669,257,297,2459,580,3054,141,178,35732,15095,58257,6345,7852
2000-11-14,2000-08-11,2001-03-28,0.694012432394,0.384407601688,0.766711395094,0.820549046898,0.855647334043,0.594123076853,0.907424118165,0.925726290571,285,735,139,183,200,618,1669,257,297,317,580,3054,141,178,212,15095,58257,6345,7852,8730
2001-03-28,2000-11-14,2001-05-11,0.656531171065,0.365208904842,0.351287512759,0.37223638278,0.847134910955,0.549587547985,0.516387956185,0.53869238649,735,139,183,200,1189,1669,257,297,317,2925,3054,141,178,212,5268,58257,6345,7852,8730,89157
2001-05-11,2001-03-28,2001-08-10,0.783990509817,0.690899972687,0.750344883518,0.373459320252,0.933899226773,0.840304024754,0.88995099159,0.54979633898,139,183,200,1189,153,257,297,317,2925,242,141,178,212,5268,166,6345,7852,8730,89157,6784
2001-08-10,2001-05-11,2001-11-06,0.797520177828,0.74743762711,0.357073110576,0.846250984993,0.932130696632,0.901460034341,0.527814326397,0.919699077624,183,200,1189,153,172,297,317,2925,242,262,178,212,5268,166,184,7852,8730,89157,6784,7396
2001-11-06,2001-08-10,2001-11-14,0.183323354117,0.131829548874,0.221144413751,0.244600799629,0.282507445258,0.26856209363,0.327326794641,0.341299878763,200,1189,153,172,0,317,2925,242,262,3,212,5268,166,184,7,8730,89157,6784,7396,363
2001-11-14,2001-11-06,2002-03-28,0.370646213942,0.819566302648,0.823037090034,0.207467084289,0.560407849159,0.933754710537,0.928227176114,0.315212564811,1189,153,172,0,168,2925,242,262,3,336,5268,166,184,7,219,89157,6784,7396,363,8325
2002-03-28,2001-11-14,2002-05-14,0.668473064206,0.650551794015,0.152879314118,0.697402357171,0.820822208424,0.799052639918,0.266213427173,0.845077494273,153,172,0,168,515,242,262,3,336,1104,166,184,7,219,951,6784,7396,363,8325,29234
2002-05-14,2002-03-28,2002-08-13,0.724852968848,0.212325049089,0.752593297522,0.709217536006,0.869600189319,0.322436614607,0.903871624313,0.861977250663,172,0,168,515,135,262,3,336,1104,324,184,7,219,951,209,7396,363,8325,29234,8104
2002-08-13,2002-05-14,2002-11-13,0.178329988139,0.510903509925,0.613614610732,0.575205165938,0.290755840769,0.694725417998,0.777553814384,0.719734862837,0,168,515,135,307,3,336,1104,324,651,7,219,951,209,801,363,8325,29234,8104,16278
2002-11-13,2002-08-13,2003-03-31,0.72775332705,0.696099900854,0.761116756632,0.590081320285,0.906832349416,0.857708935042,0.908058178787,0.754678612818,168,515,135,307,191,336,1104,324,651,427,219,951,209,801,340,8325,29234,8104,16278,12278
2003-03-31,2002-11-13,2003-05-14,0.780269603374,0.626909238284,0.580993143447,0.694639168753,0.89547434917,0.811829312627,0.749525527786,0.834972127859,515,135,307,191,647,1104,324,651,427,1587,951,209,801,340,1492,29234,8104,16278,12278,44553
2003-05-14,2003-03-31,2003-08-13,0.526166827211,0.827920449719,0.554662414633,0.629032790426,0.706019334806,0.905146197503,0.726781678738,0.790751144936,135,307,191,647,495,324,651,427,1587,1355,209,801,340,1492,1529,8104,16278,12278,44553,27983
2003-08-13,2003-05-14,2003-11-13,0.578307789261,0.649171205176,0.639422240206,0.779201426964,0.752655783708,0.827980052466,0.808022394838,0.858868402881,307,191,647,495,277,651,427,1587,1355,1058,801,340,1492,1529,964,16278,12278,44553,27983,21577
2003-11-13,2003-08-13,2004-03-12,0.747086352461,0.647547836179,0.637561806424,0.822811259228,0.907418720091,0.812515137062,0.764451826552,0.898150154464,191,647,495,277,218,427,1587,1355,1058,958,340,1492,1529,964,530,12278,44553,27983,21577,17012
2004-03-12,2003-11-13,2004-05-06,0.722162219942,0.596389105765,0.635619042935,0.67475121981,0.908803479576,0.795271714689,0.820309463509,0.848708239708,647,495,277,218,1002,1587,1355,1058,958,2902,1492,1529,964,530,2456,44553,27983,21577,17012,65819
