filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2001-04-02,2000-11-14,2001-05-15,0.610868853253,0.166846411512,0.309863861703,0.238569609285,0.802471976151,0.339191293843,0.516049482371,0.474755184262,260,72,51,96,608,249,226,108,360,379,340,336,120,530,651,17111,6722,4188,8516,23160
2001-05-15,2001-04-02,2001-08-14,0.695358342319,0.283792476079,0.216777750902,0.254811019429,0.83851141281,0.543234963048,0.492888885928,0.471958579064,72,51,96,608,69,226,108,360,379,220,336,120,530,651,351,6722,4188,8516,23160,6624
2001-08-14,2001-05-15,2001-11-14,0.507218045546,0.265213535825,0.282737950609,0.312061885543,0.830869811843,0.554300590371,0.506682968443,0.555831791609,51,96,608,69,23,108,360,379,220,89,120,530,651,351,146,4188,8516,23160,6624,4359
2001-11-14,2001-08-14,2002-03-29,0.285954350078,0.282104917266,0.298262795521,0.750844028606,0.604638365064,0.521932506068,0.558997069347,0.892492071813,96,608,69,23,33,360,379,220,89,126,530,651,351,146,221,8516,23160,6624,4359,5227
2002-03-29,2001-11-14,2002-05-15,0.588530102419,0.193870513418,0.225730081926,0.24528621989,0.756290267855,0.360655031487,0.359099651737,0.381809170712,608,69,23,33,806,379,220,89,126,1069,651,351,146,221,1574,23160,6624,4359,5227,46604
2002-05-15,2002-03-29,2002-08-14,0.690458362248,0.413250005498,0.407634728236,0.231671696855,0.854535179012,0.682536171892,0.680154052315,0.38932058991,69,23,33,806,49,220,89,126,1069,149,351,146,221,1574,233,6624,4359,5227,46604,5419
2002-08-14,2002-05-15,2002-11-14,0.375085272679,0.335163517265,0.233870967942,0.339822361351,0.575650022481,0.536674741637,0.342165207598,0.500292922483,23,33,806,49,84,89,126,1069,149,197,146,221,1574,233,377,4359,5227,46604,5419,8210
2002-11-14,2002-08-14,2003-03-06,0.554436853328,0.248193073376,0.492779826374,0.498239321673,0.829730608326,0.395362223865,0.722163977587,0.575648764306,33,806,49,84,37,126,1069,149,197,169,221,1574,233,377,194,5227,46604,5419,8210,5644
2003-03-06,2002-11-14,2003-05-15,0.655712698517,0.368395511841,0.348099892182,0.486887322553,0.787648876393,0.597708721185,0.50214367002,0.669787608921,806,49,84,37,384,1069,149,197,169,532,1574,233,377,194,720,46604,5419,8210,5644,24127
2003-05-15,2003-03-06,2003-08-14,0.278025891494,0.136958122968,0.127810722436,0.183619132252,0.426018039467,0.24051313139,0.256160065192,0.322352713187,49,84,37,384,474,149,197,169,532,857,233,377,194,720,2001,5419,8210,5644,24127,32268
2003-08-14,2003-05-15,2003-11-14,0.375850788002,0.562146628433,0.454729084353,0.149917747216,0.552473193572,0.812082294741,0.649624656129,0.266755523777,84,37,384,474,40,197,169,532,857,144,377,194,720,2001,133,8210,5644,24127,32268,5237
2003-11-14,2003-08-14,2004-03-05,0.581326416017,0.441189900663,0.143239583345,0.817597861255,0.844410111878,0.645851383745,0.262165889918,0.928245428953,37,384,474,40,49,169,532,857,144,109,194,720,2001,133,97,5644,24127,32268,5237,5261
2004-03-05,2003-11-14,2004-05-10,0.739824229249,0.24780889834,0.455149590667,0.48953608547,0.911789780443,0.384027843342,0.673924542804,0.6861222492,384,474,40,49,426,532,857,144,109,584,720,2001,133,97,865,24127,32268,5237,5261,26805
2004-05-10,2004-03-05,2004-08-05,0.290113017485,0.536530243037,0.579066563505,0.521464030036,0.420446723527,0.796732499136,0.816398291216,0.731997483745,474,40,49,426,78,857,144,109,584,156,2001,133,97,865,235,32268,5237,5261,26805,6873
2004-08-05,2004-05-10,2004-11-05,0.733293862868,0.707518564121,0.491197430882,0.700916501625,0.918609130993,0.893199052116,0.69148170026,0.861593893736,40,49,426,78,70,144,109,584,156,102,133,97,865,235,120,5237,5261,26805,6873,5942
2004-11-05,2004-08-05,2005-03-14,0.76538534263,0.500484401973,0.663719611938,0.847963107503,0.92933657685,0.704079504416,0.849360225367,0.938501144824,49,426,78,70,86,109,584,156,102,106,97,865,235,120,126,5261,26805,6873,5942,6313
2005-03-14,2004-11-05,2005-05-10,0.700777756047,0.425318177074,0.473788713316,0.497914522769,0.890292507364,0.664238004976,0.674674945722,0.694461270337,426,78,70,86,422,584,156,102,106,609,865,235,120,126,543,26805,6873,5942,6313,29561
2005-05-10,2005-03-14,2005-08-09,0.294021320453,0.154290079217,0.154814902118,0.180691922027,0.438457017787,0.291763125644,0.290982919848,0.327701897004,78,70,86,422,767,156,102,106,609,913,235,120,126,543,2326,6873,5942,6313,29561,38375
2005-08-09,2005-05-10,2005-11-09,0.692814372116,0.666543390741,0.517459705512,0.189481387663,0.897647329775,0.877164609525,0.710020891879,0.31520763851,70,86,422,767,56,102,106,609,913,126,120,126,543,2326,121,5942,6313,29561,38375,6894
2005-11-09,2005-08-09,2006-03-14,0.664859797951,0.498360454507,0.178014337737,0.852636054846,0.876233287971,0.699572340932,0.306110719356,0.94377623504,86,422,767,56,64,106,609,913,126,123,126,543,2326,121,111,6313,29561,38375,6894,7046
