filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2008-05-13,2008-02-25,2008-08-13,0.551741822396,0.689289498958,0.689932339442,0.312884898871,0.672931968507,0.785346321963,0.786031193683,0.462353434732,706,171,181,20,220,2723,951,951,70,665,3127,1032,1044,93,874,63785,25558,26131,3754,26376
2008-08-13,2008-05-13,2008-11-21,0.72876088144,0.728862827021,0.327323725892,0.846523377013,0.816455676993,0.816822778969,0.484506759549,0.913122288233,171,181,20,220,158,951,951,70,665,451,1032,1044,93,874,491,25558,26131,3754,26376,21821
2008-11-21,2008-08-13,2009-02-09,0.696004441779,0.406740833051,0.71508240308,0.69318427042,0.802413886545,0.566786247622,0.828573529427,0.802872315629,181,20,220,158,1076,951,70,665,451,2915,1044,93,874,491,3199,26131,3754,26376,21821,85242
2009-02-09,2008-11-21,2009-05-06,0.300627998401,0.648306986768,0.674868651181,0.610609351188,0.446456803734,0.792071162716,0.804947320317,0.752198978644,20,220,158,1076,63,70,665,451,2915,183,93,874,491,3199,170,3754,26376,21821,85242,7828
2009-05-06,2009-02-09,2009-07-30,0.718255370055,0.70622884828,0.632545412901,0.851617655515,0.850992714523,0.837509900039,0.776971187803,0.937459320905,220,158,1076,63,78,665,451,2915,183,284,874,491,3199,170,272,26376,21821,85242,7828,10033
2009-07-30,2009-05-06,2009-11-20,0.131203741988,0.112058943029,0.135550357425,0.146783190119,0.181995735348,0.163704789637,0.18186906034,0.186514443509,158,1076,63,78,203,451,2915,183,284,6854,491,3199,170,272,1024,21821,85242,7828,10033,37120
2009-11-20,2009-07-30,2010-02-03,0.255231820172,0.218932769891,0.226670961191,0.972141162204,0.337871666396,0.307225085991,0.31482368586,0.975267399546,1076,63,78,203,921,2915,183,284,6854,11291,3199,170,272,1024,2997,85242,7828,10033,37120,94960
2010-02-03,2009-11-20,2010-05-03,0.127858852977,0.123424627123,0.988696720994,0.965605628076,0.18892950378,0.183903908996,0.993088981918,0.97134789052,63,78,203,921,148,183,284,6854,11291,4431,170,272,1024,2997,652,7828,10033,37120,94960,26407
2010-05-03,2010-02-03,2010-08-02,0.0905153477751,0.934926050263,0.934023210338,0.930132622966,0.124152764221,0.966250547384,0.944721589034,0.964088515883,78,203,921,148,232,284,6854,11291,4431,8807,272,1024,2997,652,923,10033,37120,94960,26407,40986
2010-08-02,2010-05-03,2010-11-19,0.917207613819,0.91715997885,0.908817717857,0.993310026181,0.959490492317,0.933975264065,0.954925198378,0.997452565671,203,921,148,232,369,6854,11291,4431,8807,17432,1024,2997,652,923,1437,37120,94960,26407,40986,68784
2010-11-19,2010-08-02,2011-02-02,0.925930256461,0.909341087325,0.992126687371,0.997195282914,0.942444963705,0.955909251049,0.996526434955,0.998115515958,921,148,232,369,2021,11291,4431,8807,17432,49320,2997,652,923,1437,5276,94960,26407,40986,68784,223130
2011-02-02,2010-11-19,2011-05-05,0.358062450812,0.248022377746,0.209301084296,0.204024881469,0.29567541774,0.229444543566,0.196704713735,0.194054880842,148,232,369,2021,317,4431,8807,17432,49320,835,652,923,1437,5276,1043,26407,40986,68784,223130,38843
2011-05-05,2011-02-02,2011-07-29,0.248077137217,0.207710038223,0.203402367261,0.976833603006,0.230126115076,0.195440109337,0.193768993169,0.98178055209,232,369,2021,317,338,8807,17432,49320,835,1160,923,1437,5276,1043,1298,40986,68784,223130,38843,47944
2011-07-29,2011-05-05,2011-11-18,0.0917044180246,0.0893106260606,0.366156926272,0.382620452167,0.12154356082,0.119600104947,0.565449356961,0.578427683122,369,2021,317,338,745,17432,49320,835,1160,1172,1437,5276,1043,1298,2676,68784,223130,38843,47944,61870
2011-11-18,2011-07-29,2012-02-08,0.0992842749729,0.365443081192,0.377764276397,0.962526026016,0.130034823071,0.563596747545,0.575132235885,0.958478536541,2021,317,338,745,2695,49320,835,1160,1172,4217,5276,1043,1298,2676,7849,223130,38843,47944,61870,179331
2012-02-08,2011-11-18,2012-05-02,0.359616464841,0.361973969066,0.983849732617,0.955015728064,0.560457917415,0.560442711133,0.986746394568,0.948813728477,317,338,745,2695,578,835,1160,1172,4217,729,1043,1298,2676,7849,2017,38843,47944,61870,179331,47390
2012-05-02,2012-02-08,2012-07-27,0.371535394045,0.982089768003,0.95368980864,0.993796793985,0.573723635353,0.986017954559,0.948661704674,0.994283786865,338,745,2695,578,629,1160,1172,4217,729,792,1298,2676,7849,2017,2087,47944,61870,179331,47390,50852
2012-07-27,2012-05-02,2012-11-16,0.984794607985,0.952726724708,0.990201220189,0.990472985883,0.989834996823,0.949545112084,0.991068302554,0.991895485861,745,2695,578,629,683,1172,4217,729,792,1067,2676,7849,2017,2087,2263,61870,179331,47390,50852,53135
