filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-02-09,1994-12-21,1995-05-15,0.522588635912,0.566792619609,0.560660051408,0.340251228919,0.866936499426,0.864256711733,0.848320847652,0.632043275442,26,19,18,112,27,54,47,67,235,42,54,44,59,203,33,1791,1938,1996,10271,1916
1995-05-15,1995-02-09,1995-08-08,0.319373515431,0.293864900217,0.26609167064,0.316482321479,0.575960980351,0.559641673129,0.567775687091,0.547200406886,19,18,112,27,59,47,67,235,42,69,44,59,203,33,193,1938,1996,10271,1916,4677
1995-08-08,1995-05-15,1995-12-26,0.377646818223,0.261234577838,0.383138497722,0.350087527846,0.69371715244,0.588097075108,0.678644124284,0.660117414502,18,112,27,59,24,67,235,42,69,76,59,203,33,193,132,1996,10271,1916,4677,2856
1995-12-26,1995-08-08,1996-02-12,0.483963581969,0.30716250161,0.309988183127,0.271207718038,0.739405663969,0.617188281057,0.641066712807,0.570377960614,112,27,59,24,88,235,42,69,76,263,203,33,193,132,357,10271,1916,4677,2856,10309
1996-02-12,1995-12-26,1996-05-13,0.561261461244,0.279364633535,0.370794733909,0.328435448372,0.873742205142,0.510374441496,0.675495224823,0.610444709338,27,59,24,88,20,42,69,76,263,48,33,193,132,357,38,1916,4677,2856,10309,1873
1996-05-13,1996-02-12,1996-08-09,0.296796324096,0.351153175967,0.316499027019,0.626426780409,0.529550952295,0.663350819093,0.602217615259,0.887675886332,59,24,88,20,25,69,76,263,48,48,193,132,357,38,38,4677,2856,10309,1873,2081
1996-08-09,1996-05-13,1996-12-19,0.388811458279,0.317728868111,0.630261291274,0.6587071485,0.697615033455,0.596115763671,0.885175035856,0.887234474325,24,88,20,25,22,76,263,48,48,48,132,357,38,38,38,2856,10309,1873,2081,1975
1996-12-19,1996-08-09,1997-02-07,0.672455288239,0.440727459236,0.430169338937,0.432634269229,0.849258218616,0.744014729441,0.733323921627,0.728495397128,88,20,25,22,75,263,48,48,48,146,357,38,38,38,197,10309,1873,2081,1975,7841
1997-02-07,1996-12-19,1997-05-12,0.695434619543,0.605326964245,0.619515674017,0.44107629723,0.933823306526,0.865448926488,0.862794576564,0.730155296618,20,25,22,75,12,48,48,48,146,46,38,38,38,197,41,1873,2081,1975,7841,1845
1997-05-12,1997-02-07,1997-08-11,0.630883388964,0.544421172076,0.432154362766,0.599794018544,0.872778724748,0.797037915698,0.714516543537,0.832814929928,25,22,75,12,29,48,48,146,46,62,38,38,197,41,53,2081,1975,7841,1845,2545
