filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2007-03-01,2006-11-09,2007-05-10,0.5399680636,0.523796324527,0.326619451495,0.570571787804,0.712903452444,0.732795507544,0.504892626682,0.742915298895,624,53,178,70,345,1417,157,609,189,586,2385,112,901,155,556,55018,8269,22077,10736,32544
2007-05-10,2007-03-01,2007-08-02,0.568262018306,0.33796463908,0.559227849161,0.579627117967,0.811155106397,0.535133290034,0.783303170299,0.766083440275,53,178,70,345,52,157,609,189,586,139,112,901,155,556,184,8269,22077,10736,32544,7843
2007-08-02,2007-05-10,2007-11-02,0.363036636074,0.570870457745,0.548225848181,0.646599203902,0.53192094114,0.795592124252,0.732363176301,0.827774405122,178,70,345,52,70,609,189,586,139,162,901,155,556,184,98,22077,10736,32544,7843,8729
2007-11-02,2007-08-02,2008-02-28,0.730938195663,0.550848739388,0.635433108563,0.722130388413,0.899653757858,0.72684843736,0.815948063255,0.877329089973,70,345,52,70,71,189,586,139,162,180,155,556,184,98,90,10736,32544,7843,8729,8853
2008-02-28,2007-11-02,2008-05-02,0.726771071719,0.503386424206,0.458884001513,0.470357224031,0.883904693868,0.714051765827,0.666738388859,0.662412771715,345,52,70,71,500,586,139,162,180,1114,556,184,98,90,1236,32544,7843,8729,8853,46080
2008-05-02,2008-02-28,2008-07-29,0.700448245137,0.628096074045,0.660684115683,0.482744423017,0.891757393856,0.821051233979,0.830443214255,0.668089529737,52,70,71,500,52,139,162,180,1114,127,184,98,90,1236,74,7843,8729,8853,46080,6341
2008-07-29,2008-05-02,2008-11-03,0.79109274326,0.65834493062,0.432906192309,0.737510335376,0.931385250159,0.859806385074,0.636308308053,0.878780372664,70,71,500,52,83,162,180,1114,127,147,98,90,1236,74,84,8729,8853,46080,6341,7617
2008-11-03,2008-07-29,2009-02-12,0.814525319977,0.455409169547,0.729310935206,0.764974553205,0.947323274028,0.652749100699,0.871633808362,0.902526553754,71,500,52,83,89,180,1114,127,147,165,90,1236,74,84,79,8853,46080,6341,7617,7954
2009-02-12,2008-11-03,2009-04-30,0.877784024778,0.450529225264,0.408472458918,0.436355478627,0.944042675114,0.631098945521,0.598990868356,0.616811200167,500,52,83,89,635,1114,127,147,165,1470,1236,74,84,79,1894,46080,6341,7617,7954,57206
2009-04-30,2009-02-12,2009-07-28,0.729338916602,0.60461338457,0.645006830116,0.47039817415,0.892730103522,0.799441592064,0.822722231762,0.643679862157,52,83,89,635,67,127,147,165,1470,183,74,84,79,1894,72,6341,7617,7954,57206,8498
2009-07-28,2009-04-30,2009-11-03,0.105988419289,0.0926655835887,0.0711749750735,0.112272615604,0.157028790798,0.14793301977,0.125066005374,0.160988722069,83,89,635,67,154,147,165,1470,183,4659,84,79,1894,72,198,7617,7954,57206,8498,26410
2009-11-03,2009-07-28,2010-02-11,0.0855501861286,0.0567760053643,0.0845710632083,0.993084398186,0.130556343817,0.101787401552,0.128046909556,0.99535363257,89,635,67,154,130,165,1470,183,4659,5605,79,1894,72,198,153,7954,57206,8498,26410,27028
2010-02-11,2009-11-03,2010-04-29,0.205681602657,0.188221166582,0.973598298003,0.971713700917,0.317556386904,0.289520895971,0.967897149627,0.962601706017,635,67,154,130,679,1470,183,4659,5605,6763,1894,72,198,153,1057,57206,8498,26410,27028,71668
2010-04-29,2010-02-11,2010-08-05,0.0746415206401,0.947251850021,0.945537174214,0.929994129289,0.114533918565,0.966125057906,0.964689703132,0.936391535867,67,154,130,679,237,183,4659,5605,6763,6359,72,198,153,1057,915,8498,26410,27028,71668,35304
2010-08-05,2010-04-29,2010-11-12,0.933463699871,0.933096818386,0.910638627617,0.989744328945,0.959948464143,0.95991058011,0.918774116008,0.993217391523,154,130,679,237,378,4659,5605,6763,6359,17090,198,153,1057,915,1188,26410,27028,71668,35304,64887
2010-11-12,2010-08-05,2011-02-03,0.917333753996,0.900943219989,0.98303414644,0.99574742664,0.951030974205,0.915784624446,0.988975153804,0.99751759207,130,679,237,378,1594,5605,6763,6359,17090,48221,153,1057,915,1188,4341,27028,71668,35304,64887,205773
2011-02-03,2010-11-12,2011-04-28,0.282921144976,0.238004418617,0.162533097231,0.149873719754,0.317284208007,0.239329055471,0.162274773645,0.151543034107,679,237,378,1594,208,6763,6359,17090,48221,720,1057,915,1188,4341,499,71668,35304,64887,205773,31702
2011-04-28,2011-02-03,2011-08-05,0.235697891941,0.159711717903,0.146025712228,0.985829948442,0.237129931063,0.159334055227,0.147937728891,0.988162748789,237,378,1594,208,246,6359,17090,48221,720,776,915,1188,4341,499,553,35304,64887,205773,31702,35001
2011-08-05,2011-04-28,2011-11-10,0.105458072041,0.100597611,0.47233799711,0.482523661311,0.121655540305,0.116841347538,0.603284888132,0.608918105312,378,1594,208,246,283,17090,48221,720,776,945,1188,4341,499,553,804,64887,205773,31702,35001,37862
2011-11-10,2011-08-05,2012-02-02,0.061683066107,0.323760705556,0.330101531631,0.487080691821,0.0873902757724,0.496701102296,0.501482117305,0.647483625901,1594,208,246,283,1872,48221,720,776,945,2396,4341,499,553,804,4484,205773,31702,35001,37862,131134
2012-02-02,2011-11-10,2012-05-03,0.352604899182,0.357024570469,0.527401953617,0.968021311896,0.530078759083,0.531430446131,0.673580725511,0.963916714249,208,246,283,1872,487,720,776,945,2396,866,499,553,804,4484,1797,31702,35001,37862,131134,44224
2012-05-03,2012-02-02,2012-08-03,0.366021185388,0.533009609,0.96709608596,0.993158978116,0.544074091742,0.681022196019,0.963664863939,0.993856215344,246,283,1872,487,493,776,945,2396,866,880,553,804,4484,1797,1681,35001,37862,131134,44224,45613
2012-08-03,2012-05-03,2012-11-15,0.54014156103,0.967217257686,0.992931775492,0.994917144035,0.686814425014,0.963469261043,0.99329392348,0.99524054806,283,1872,487,493,501,945,2396,866,880,913,804,4484,1797,1681,1743,37862,131134,44224,45613,46743
2012-11-15,2012-08-03,2013-01-31,0.979043524329,0.978925239147,0.979227529167,0.979702063561,0.982777547143,0.975812400022,0.976450707634,0.976522516126,1872,487,493,501,1842,2396,866,880,913,2341,4484,1797,1681,1743,4388,131134,44224,45613,46743,130683
2013-01-31,2012-11-15,2013-05-01,0.987866965963,0.983396425175,0.983488670312,0.976720087966,0.990747382361,0.985599166057,0.985164998606,0.974107394321,487,493,501,1842,562,866,880,913,2341,1060,1797,1681,1743,4388,2334,44224,45613,46743,130683,49960
2013-05-01,2013-01-31,2013-08-02,0.99307271228,0.98919417095,0.979826343984,0.987213070467,0.995128242557,0.990825465494,0.9746617753,0.986448614346,493,501,1842,562,501,880,913,2341,1060,798,1681,1743,4388,2334,1707,45613,46743,130683,49960,44374
2013-08-02,2013-05-01,2013-11-14,0.681544699055,0.671801652421,0.673986211232,0.679795545512,0.848178129003,0.827072838183,0.83976514012,0.846519370047,501,1842,562,501,367,913,2341,1060,798,1074,1743,4388,2334,1707,2181,46743,130683,49960,44374,54163
2013-11-14,2013-08-02,2014-01-30,0.724272043136,0.688811645998,0.690403260022,0.864992860062,0.863012267844,0.828763315767,0.829142171265,0.897043152832,1842,562,501,367,1174,2341,1060,798,1074,2165,4388,2334,1707,2181,2721,130683,49960,44374,54163,103110
2014-01-30,2013-11-14,2014-05-01,0.607881642885,0.605526382945,0.765197613501,0.820959713643,0.809963963157,0.805832960028,0.883582962613,0.912188463193,562,501,367,1174,189,1060,798,1074,2165,646,2334,1707,2181,2721,1130,49960,44374,54163,103110,34603
2014-05-01,2014-01-30,2014-08-06,0.575168555507,0.717923159837,0.767425151519,0.975969715256,0.795830511629,0.863544480501,0.885983013375,0.98001417635,501,367,1174,189,169,798,1074,2165,646,618,1707,2181,2721,1130,943,44374,54163,103110,34603,33613
2014-08-06,2014-05-01,2014-11-13,0.732078251422,0.775112308584,0.976830148292,0.98569935753,0.874930745001,0.890745419866,0.980855048167,0.989072887161,367,1174,189,169,170,1074,2165,646,618,639,2181,2721,1130,943,986,54163,103110,34603,33613,34298
2014-11-13,2014-08-06,2015-01-29,0.734046862844,0.944945770221,0.960221729371,0.960091675348,0.8969636379,0.950810422631,0.954732769791,0.956031633088,1174,189,169,170,1083,2165,646,618,639,1878,2721,1130,943,986,2474,103110,34603,33613,34298,104262
2015-01-29,2014-11-13,2015-04-30,0.955711585264,0.942846132742,0.943914037695,0.919677727053,0.960687465982,0.945327719745,0.946028463724,0.922264956343,189,169,170,1083,340,646,618,639,1878,1081,1130,943,986,2474,1974,34603,33613,34298,104262,45170
2015-04-30,2015-01-29,2015-08-06,0.981179429578,0.970167555908,0.955163388431,0.947525485745,0.983793134915,0.97434270954,0.950731148687,0.94920165355,169,170,1083,340,237,618,639,1878,1081,665,943,986,2474,1974,835,33613,34298,104262,45170,34516
2015-08-06,2015-04-30,2015-11-12,0.781482485417,0.681397013262,0.789977648137,0.771236761158,0.909037926342,0.843072919165,0.892507775042,0.905686424826,170,1083,340,237,241,639,1878,1081,665,727,986,2474,1974,835,971,34298,104262,45170,34516,35040
2015-11-12,2015-08-06,2016-02-09,0.714787219707,0.775220938182,0.748589650253,0.951471967187,0.880306194464,0.874204071083,0.876702641745,0.957976438833,1083,340,237,241,1088,1878,1081,665,727,1894,2474,1974,835,971,2439,104262,45170,34516,35040,102075
2016-02-09,2015-11-12,2016-04-28,0.817072574421,0.761585962205,0.967585449953,0.949037752228,0.920912311926,0.896150477074,0.97737867632,0.956031851938,340,237,241,1088,237,1081,665,727,1894,806,1974,835,971,2439,1248,45170,34516,35040,102075,35693
2016-04-28,2016-02-09,2016-08-04,0.766171693531,0.955735321228,0.937807756881,0.967244909678,0.901366435651,0.971821681996,0.950177671026,0.97838682235,237,241,1088,237,313,665,727,1894,806,975,835,971,2439,1248,1381,34516,35040,102075,35693,40143
2016-08-04,2016-04-28,2016-11-09,0.92379324112,0.899810168454,0.925136321096,0.924145154704,0.94458388198,0.925762485816,0.948798056599,0.951689268424,241,1088,237,313,389,727,1894,806,975,1188,971,2439,1248,1381,2127,35040,102075,35693,40143,49287
2016-11-09,2016-08-04,2017-02-09,0.985751723457,0.939426075162,0.935420395088,0.916936265056,0.991676611444,0.94882992903,0.94894167529,0.942151776875,1088,237,313,389,1248,1894,806,975,1188,2202,2439,1248,1381,2127,3387,102075,35693,40143,49287,111142
2017-02-09,2016-11-09,2017-05-04,0.943739710926,0.918291835325,0.913527493951,0.899164284438,0.956111834217,0.939876988526,0.944044021157,0.917588049344,237,313,389,1248,451,806,975,1188,2202,1596,1248,1381,2127,3387,2663,35693,40143,49287,111142,54587
2017-05-04,2017-02-09,2017-08-03,0.96282996204,0.907515074915,0.936352671474,0.904836366407,0.978983179237,0.936159111629,0.948678782214,0.920188929617,313,389,1248,451,262,975,1188,2202,1596,801,1381,2127,3387,2663,1071,40143,49287,111142,54587,39879
2017-08-03,2017-05-04,2017-11-16,0.914301260609,0.931322601025,0.894820062079,0.974111002706,0.939778884732,0.945555406253,0.911722947843,0.98479541391,389,1248,451,262,307,1188,2202,1596,801,881,2127,3387,2663,1071,983,49287,111142,54587,39879,39565
