filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2010-11-03,2010-08-04,2011-02-28,0.833203447196,0.577524975095,0.634411195299,0.606466607932,0.9395957493,0.731968499298,0.802293644163,0.800561712668,153,423,113,128,126,393,1149,276,315,300,291,567,158,182,189,14459,30147,9950,11256,11558
2011-02-28,2010-11-03,2011-05-03,0.938520413288,0.632035024333,0.562622402399,0.600861356765,0.977542892452,0.767454665414,0.722601818936,0.746179674471,423,113,128,126,382,1149,276,315,300,1149,567,158,182,189,625,30147,9950,11256,11558,30469
2011-05-03,2011-02-28,2011-08-02,0.748735483764,0.547757312038,0.576662578882,0.639428213081,0.830971858646,0.700496992261,0.716010790571,0.746144746978,113,128,126,382,381,276,315,300,1149,968,158,182,189,625,518,9950,11256,11558,30469,33492
2011-08-02,2011-05-03,2011-11-01,0.418868995162,0.350694822125,0.393938609586,0.57712456888,0.522739452839,0.482824891643,0.509037558963,0.671656164891,128,126,382,381,665,315,300,1149,968,1543,182,189,625,518,1113,11256,11558,30469,33492,72342
2011-11-01,2011-08-02,2012-02-28,0.426441154829,0.403764185832,0.577929082403,0.933862070324,0.533510550199,0.521402788868,0.675138042907,0.956064436908,126,382,381,665,664,300,1149,968,1543,1623,189,625,518,1113,1204,11558,30469,33492,72342,71273
2012-02-28,2011-11-01,2012-05-01,0.49844339131,0.543734397174,0.93492936448,0.896211260083,0.593027914582,0.650237014781,0.955184931132,0.926297142735,382,381,665,664,1558,1149,968,1543,1623,3169,625,518,1113,1204,2093,30469,33492,72342,71273,138506
2012-05-01,2012-02-28,2012-07-31,0.275326433498,0.515261388516,0.48601482579,0.503596117146,0.390678194295,0.654675513813,0.630489676597,0.63776169665,381,665,664,1558,1094,968,1543,1623,3169,1190,518,1113,1204,2093,2843,33492,72342,71273,138506,78772
2012-07-31,2012-05-01,2012-10-30,0.545047510596,0.502893175869,0.520537851212,0.991399035288,0.688162767088,0.654145936024,0.660386623438,0.992040200939,665,664,1558,1094,1149,1543,1623,3169,1190,1431,1113,1204,2093,2843,3073,72342,71273,138506,78772,87226
2012-10-30,2012-07-31,2013-02-26,0.524355466324,0.525731023819,0.978474439413,0.979404946993,0.669649690494,0.662577536334,0.983736667227,0.986379131625,664,1558,1094,1149,1115,1623,3169,1190,1431,1388,1204,2093,2843,3073,2840,71273,138506,78772,87226,86211
2013-02-26,2012-10-30,2013-04-30,0.578012289944,0.974264456101,0.973521835594,0.981244744882,0.720459068798,0.975899187479,0.976821083194,0.980328025063,1558,1094,1149,1115,2394,3169,1190,1431,1388,3062,2093,2843,3073,2840,4973,138506,78772,87226,86211,159135
