filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-05-13,1999-02-22,1999-08-10,0.374432912939,0.376827292613,0.456069346102,0.572948252867,0.564167117091,0.572638798191,0.614962920625,0.786677877044,51,51,60,161,53,161,152,173,372,171,29,18,25,117,16,4928,4632,5583,14479,4710
1999-08-10,1999-05-13,1999-11-15,0.387207679867,0.448325217012,0.547781538204,0.834230063985,0.593714944396,0.623146848737,0.787215078049,0.943229198578,51,60,161,53,52,152,173,372,171,172,18,25,117,16,23,4632,5583,14479,4710,5046
1999-11-15,1999-08-10,1999-12-23,0.473296467274,0.538963898147,0.810808032386,0.862828296637,0.630756393121,0.765333907482,0.925273655545,0.946860537904,60,161,53,52,56,173,372,171,172,179,25,117,16,23,18,5583,14479,4710,5046,5125
1999-12-23,1999-11-15,2000-03-22,0.540822069408,0.811640212655,0.863201999136,0.987965256412,0.766909691197,0.924829797254,0.946302847847,0.997597634271,161,53,52,56,56,372,171,172,179,181,117,16,23,18,26,14479,4710,5046,5125,5159
2000-03-22,1999-12-23,2000-04-27,0.496558174514,0.493832676345,0.50513909284,0.507859497686,0.751139348219,0.760495904679,0.757099253447,0.759742717264,53,52,56,56,200,171,172,179,181,487,16,23,18,26,362,4710,5046,5125,5159,17442
2000-04-27,2000-03-22,2000-05-12,0.110241067668,0.106093475303,0.112769320314,0.194508570904,0.262216309541,0.246914094513,0.259367307166,0.400168948837,52,56,56,200,25,172,179,181,487,22,23,18,26,362,22,5046,5125,5159,17442,2645
2000-05-12,2000-04-27,2000-08-09,0.609305289324,0.611058324656,0.579249376017,0.109723550105,0.844672843882,0.845138711885,0.78389767847,0.2592085149,56,56,200,25,95,179,181,487,22,243,18,26,362,22,49,5125,5159,17442,2645,6519
2000-08-09,2000-05-12,2000-11-14,0.469162410785,0.473074215712,0.11317496048,0.617811646292,0.703501362551,0.713127719788,0.256460570986,0.801979028786,56,200,25,95,127,181,487,22,243,403,26,362,22,49,163,5159,17442,2645,6519,9945
2000-11-14,2000-08-09,2001-03-28,0.0933629559098,0.032060412145,0.0784313481211,0.102905788141,0.245532963301,0.114045352926,0.21270105064,0.234281405121,200,25,95,127,484,487,22,243,403,2476,362,22,49,163,3513,17442,2645,6519,9945,48870
2001-03-28,2000-11-14,2001-05-11,0.201753173678,0.524805779968,0.636737718711,0.111361666252,0.383494915875,0.759285621062,0.828122264432,0.251223629643,25,95,127,484,270,22,243,403,2476,701,22,49,163,3513,380,2645,6519,9945,48870,21616
2001-05-11,2001-03-28,2001-08-13,0.549817588271,0.627582077357,0.0997594735031,0.692485723418,0.802512311034,0.82330558905,0.232143547291,0.853277473191,95,127,484,270,121,243,403,2476,701,461,49,163,3513,380,159,6519,9945,48870,21616,9153
