filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-11-13,1996-08-14,1997-03-28,0.171207450633,0.0908677882972,0.0797890965719,0.636272999568,0.28800786644,0.199644778987,0.16829815125,0.856791727121,109,126,94,25,15,363,286,346,25,25,762,540,760,9,8,9104,6570,8215,1620,1483
1997-03-28,1996-11-13,1997-05-12,0.209066904233,0.215526311475,0.326330464196,0.312932176839,0.374684224985,0.366753055572,0.557552420742,0.524611587107,126,94,25,15,345,286,346,25,25,474,540,760,9,8,537,6570,8215,1620,1483,18902
1997-05-12,1997-03-28,1997-08-14,0.0869990508204,0.530585235711,0.582344025425,0.335567817987,0.184330963185,0.804848796277,0.837376612654,0.55449129459,94,25,15,345,10,346,25,25,474,17,760,9,8,537,8,8215,1620,1483,18902,1483
1997-08-14,1997-05-12,1997-11-12,0.144613965051,0.13372323054,0.226175726708,0.148390299519,0.274936893752,0.266408724988,0.410156674775,0.278766031011,25,15,345,10,217,25,25,474,17,570,9,8,537,8,1111,1620,1483,18902,1483,18592
1997-11-12,1997-08-14,1998-03-26,0.223163293117,0.271955816857,0.224183145296,0.353460943269,0.40619479874,0.498771313678,0.402125736985,0.662215561379,15,345,10,217,197,25,474,17,570,327,8,537,8,1111,610,1483,18902,1483,18592,9470
1998-03-26,1997-11-12,1998-05-13,0.774353335487,0.312722264897,0.254647940927,0.283650993237,0.920527864061,0.547047976074,0.436840281327,0.507978132648,345,10,217,197,328,474,17,570,327,462,537,8,1111,610,560,18902,1483,18592,9470,19484
1998-05-13,1998-03-26,1998-08-14,0.647784634212,0.133373403031,0.202773598132,0.338535041534,0.889968822965,0.247823308123,0.363604568116,0.544720906522,10,217,197,328,16,17,570,327,462,30,8,1111,610,560,10,1483,18592,9470,19484,1633
1998-08-14,1998-05-13,1998-11-13,0.151587160252,0.19648642632,0.330221278791,0.684307181204,0.280334571499,0.388020693438,0.579101557612,0.872748739294,217,197,328,16,29,570,327,462,30,57,1111,610,560,10,24,18592,9470,19484,1633,2375
1998-11-13,1998-08-14,1999-03-30,0.453696613351,0.277951301239,0.168030121374,0.189926467385,0.760163792897,0.453881490807,0.261915318437,0.285946610652,197,328,16,29,212,327,462,30,57,765,610,560,10,24,1373,9470,19484,1633,2375,19221
1999-03-30,1998-11-13,1999-05-14,0.504538184987,0.211219810928,0.209827880084,0.259787728648,0.742307040269,0.439698268798,0.46491189424,0.501936972937,328,16,29,212,376,462,30,57,765,914,560,10,24,1373,1099,19484,1633,2375,19221,31105
1999-05-14,1999-03-30,1999-08-16,0.665847267384,0.53359428585,0.161557607549,0.222326982999,0.902326588924,0.822086879323,0.275909735403,0.478524602987,16,29,212,376,19,30,57,765,914,51,10,24,1373,1099,12,1633,2375,19221,31105,1949
1999-08-16,1999-05-14,1999-11-15,0.587189028897,0.163970801217,0.212180734331,0.699704232645,0.870760877949,0.300325665229,0.475310238481,0.86512202559,29,212,376,19,26,57,765,914,51,57,24,1373,1099,12,17,2375,19221,31105,1949,2555
1999-11-15,1999-08-16,2000-03-03,0.459621374642,0.513012085443,0.133395761757,0.144103474493,0.670243837073,0.710866834929,0.242022781539,0.260705748421,212,376,19,26,264,765,914,51,57,992,1373,1099,12,17,1735,19221,31105,1949,2555,24486
2000-03-03,1999-11-15,2000-05-15,0.356813339908,0.215224161176,0.217742371946,0.340824848902,0.666176892259,0.413274489114,0.42349090841,0.61039717891,376,19,26,264,710,914,51,57,992,1416,1099,12,17,1735,2261,31105,1949,2555,24486,44311
2000-05-15,2000-03-03,2000-08-14,0.176337194417,0.167421641366,0.416992580526,0.455428883388,0.336030193327,0.328735122248,0.625480455821,0.7216699477,19,26,264,710,513,51,57,992,1416,1567,12,17,1735,2261,3186,1949,2555,24486,44311,43907
2000-08-14,2000-05-15,2000-11-13,0.523700511186,0.121448951989,0.217427807184,0.172672723777,0.796498493992,0.26087252454,0.42344220663,0.312475633209,26,264,710,513,51,57,992,1416,1567,70,17,1735,2261,3186,36,2555,24486,44311,43907,2967
2000-11-13,2000-08-14,2001-03-26,0.235186496734,0.33365429854,0.873797927098,0.169926981055,0.411043375679,0.560494697402,0.887087401782,0.288821123931,264,710,513,51,302,992,1416,1567,70,989,1735,2261,3186,36,2022,24486,44311,43907,2967,29801
2001-03-26,2000-11-13,2001-05-15,0.500840717071,0.497286540503,0.176740756139,0.310973382382,0.773318784225,0.7155413339,0.340746320722,0.499914785635,710,513,51,302,988,1416,1567,70,989,2259,2261,3186,36,2022,3913,44311,43907,2967,29801,65696
2001-05-15,2001-03-26,2001-08-14,0.162540829088,0.435203345429,0.159011420084,0.177110395129,0.327013162813,0.748213755318,0.32074616484,0.351499880128,513,51,302,988,42,1567,70,989,2259,73,3186,36,2022,3913,46,43907,2967,29801,65696,2579
