filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-03-29,1995-11-14,1996-05-15,0.13410062368,0.211422635698,0.118178914346,0.532841446202,0.303644436409,0.364242607418,0.277725277898,0.712403502793,5,70,1,293,1905,13,108,19,982,6625,19,163,26,2396,15089,1622,7805,2064,37400,197858
1996-05-15,1996-03-29,1996-07-25,0.195551311844,0.209410822788,0.208307392904,0.125922058558,0.394430028049,0.499315658241,0.35708890239,0.237648047273,70,1,293,1905,16,108,19,982,6625,33,163,26,2396,15089,17,7805,2064,37400,197858,2126
1996-07-25,1996-05-15,1996-10-24,0.255932039945,0.212902077763,0.127809470699,0.751433324262,0.573886327472,0.373614693559,0.246450064375,0.890660911583,1,293,1905,16,14,19,982,6625,33,44,26,2396,15089,17,19,2064,37400,197858,2126,2567
1996-10-24,1996-07-25,1997-03-26,0.218049159054,0.125002901735,0.692544294078,0.802950145425,0.369874274014,0.237710508141,0.855760011662,0.911628602257,293,1905,16,14,16,982,6625,33,44,75,2396,15089,17,19,19,37400,197858,2126,2567,2826
1997-03-26,1996-10-24,1997-04-24,0.548205226954,0.134043133334,0.16074224657,0.167838832763,0.747255226946,0.249937175818,0.281444027003,0.278152158093,1905,16,14,16,736,6625,33,44,75,2162,15089,17,19,19,4698,197858,2126,2567,2826,78084
1997-04-24,1997-03-26,1997-07-25,0.140630584324,0.14850646198,0.146895067528,0.584409333825,0.243463181543,0.25996113142,0.250619486898,0.779033293604,16,14,16,736,274,33,44,75,2162,633,17,19,19,4698,1893,2126,2567,2826,78084,30399
1997-07-25,1997-04-24,1997-10-23,0.187940094849,0.175975238685,0.295404588963,0.276453860664,0.373605592118,0.355756593801,0.5825123959,0.520613992255,14,16,736,274,231,44,75,2162,633,557,19,19,4698,1893,1028,2567,2826,78084,30399,15214
1997-10-23,1997-07-25,1998-03-12,0.551692405584,0.16048816323,0.169393886212,0.275807453687,0.795283802052,0.314478897623,0.289880003333,0.463264757328,16,736,274,231,20,75,2162,633,557,75,19,4698,1893,1028,63,2826,78084,30399,15214,3854
1998-03-12,1997-10-23,1998-05-15,0.437253092933,0.295400513761,0.24532927614,0.21943019647,0.612246947023,0.480240195475,0.50819626988,0.378097848813,736,274,231,20,569,2162,633,557,75,1247,4698,1893,1028,63,2458,78084,30399,15214,3854,51591
1998-05-15,1998-03-12,1998-08-13,0.141003421111,0.212634190322,0.56793895588,0.275924565829,0.259384784357,0.4484022144,0.792988707429,0.464221451213,274,231,20,569,44,633,557,75,1247,171,1893,1028,63,2458,136,30399,15214,3854,51591,4746
1998-08-13,1998-05-15,1998-11-13,0.263391136918,0.128179714552,0.33112824662,0.169996077411,0.532474775997,0.26197927552,0.540532298577,0.304176520511,231,20,569,44,319,557,75,1247,171,1249,1028,63,2458,136,2931,15214,3854,51591,4746,36053
1998-11-13,1998-08-13,1999-03-31,0.146721682767,0.325196324077,0.214811680085,0.817605936558,0.291050815994,0.541147814041,0.372780744569,0.887646522419,20,569,44,319,344,75,1247,171,1249,1296,63,2458,136,2931,2297,3854,51591,4746,36053,35979
1999-03-31,1998-11-13,1999-05-17,0.408965538941,0.295192590072,0.461726692537,0.493677617903,0.60790209939,0.526533917461,0.62559405901,0.671658935864,569,44,319,344,660,1247,171,1249,1296,2278,2458,136,2931,2297,3671,51591,4746,36053,35979,56447
1999-05-17,1999-03-31,1999-08-16,0.311943220554,0.326586575202,0.413241772082,0.533146808417,0.608668133212,0.506168157964,0.599498176054,0.743033013526,44,319,344,660,144,171,1249,1296,2278,493,136,2931,2297,3671,491,4746,36053,35979,56447,10029
1999-08-16,1999-05-17,1999-11-15,0.206523720393,0.229410824539,0.390388402874,0.596998770957,0.358677505811,0.403880163191,0.60118512527,0.771374043676,319,344,660,144,41,1249,1296,2278,493,311,2931,2297,3671,491,188,36053,35979,56447,10029,5946
1999-11-15,1999-08-16,2000-03-29,0.250956334013,0.406949375236,0.551285933642,0.726984605516,0.443180974072,0.63928672753,0.783585218403,0.907188018026,344,660,144,41,71,1296,2278,493,311,458,2297,3671,491,188,287,35979,56447,10029,5946,8432
2000-03-29,1999-11-15,2000-05-09,0.604287329502,0.48865635645,0.545891831375,0.582006571446,0.767374140626,0.73392879164,0.774098772162,0.8050242105,660,144,41,71,459,2278,493,311,458,1712,3671,491,188,287,1312,56447,10029,5946,8432,37382
2000-05-09,2000-03-29,2000-08-11,0.449716469958,0.57687582347,0.608513622453,0.682023115969,0.729235935661,0.838485039988,0.862776780552,0.843532477731,144,41,71,459,82,493,311,458,1712,640,491,188,287,1312,512,10029,5946,8432,37382,8892
2000-08-11,2000-05-09,2000-11-07,0.526548842415,0.544582713531,0.611416229295,0.762552922648,0.806674454013,0.826461744017,0.823244028832,0.906526867927,41,71,459,82,122,311,458,1712,640,801,188,287,1312,512,808,5946,8432,37382,8892,13839
2000-11-07,2000-08-11,2001-04-16,0.5376673768,0.598734984676,0.706283323669,0.680703797752,0.829971782417,0.825360554277,0.886611332233,0.872744080084,71,459,82,122,231,458,1712,640,801,813,287,1312,512,808,774,8432,37382,8892,13839,14917
2001-04-16,2000-11-07,2001-05-14,0.807013530042,0.598108545632,0.565267913238,0.632880778081,0.939344545465,0.816400501815,0.808522060912,0.847697866774,459,82,122,231,910,1712,640,801,813,2068,1312,512,808,774,2139,37382,8892,13839,14917,51159
2001-05-14,2001-04-16,2001-08-10,0.539742664592,0.488460329789,0.483497714025,0.639547112271,0.775471620314,0.746693984849,0.748978358821,0.808943479953,82,122,231,910,195,640,801,813,2068,696,512,808,774,2139,699,8892,13839,14917,51159,13597
2001-08-10,2001-05-14,2001-11-13,0.522102181625,0.504503612846,0.653748884493,0.945314288557,0.774686953036,0.76742161499,0.821040972314,0.98034254211,122,231,910,195,223,801,813,2068,696,850,808,774,2139,699,861,13839,14917,51159,13597,15766
2001-11-13,2001-08-10,2002-03-26,0.478088723123,0.591573394995,0.757337415866,0.77963115129,0.730887154249,0.768191339956,0.891513783922,0.895384935511,231,910,195,223,217,813,2068,696,850,647,774,2139,699,861,920,14917,51159,13597,15766,17829
2002-03-26,2001-11-13,2002-05-14,0.630090613274,0.531739261595,0.541275598134,0.54525636405,0.824456954645,0.752377814832,0.755768151108,0.760581102022,910,195,223,217,802,2068,696,850,647,2397,2139,699,861,920,2859,51159,13597,15766,17829,66216
