filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-08-14,1997-05-07,1997-11-14,0.627168075112,0.567712653255,0.407538418209,0.597809302895,0.869204383426,0.828447139404,0.652771794583,0.793509773084,29,33,287,23,28,76,55,289,21,57,20,21,130,13,19,3072,2886,16650,1641,2522
1997-11-14,1997-08-14,1998-03-31,0.606564573958,0.415075682398,0.52322410579,0.719866669037,0.86802913595,0.6875756404,0.765443020827,0.876042301347,33,287,23,28,32,55,289,21,57,60,21,130,13,19,21,2886,16650,1641,2522,2925
1998-03-31,1997-11-14,1998-05-13,0.782144320418,0.366345108033,0.427934214465,0.47319219947,0.950281066493,0.623136469466,0.651356211243,0.704782977957,287,23,28,32,209,289,21,57,60,220,130,13,19,21,123,16650,1641,2522,2925,13963
1998-05-13,1998-03-31,1998-08-11,0.604866449817,0.482398209805,0.527223428148,0.452018779773,0.864614065803,0.771536308628,0.793845379011,0.681077788283,23,28,32,209,28,21,57,60,220,34,13,19,21,123,32,1641,2522,2925,13963,2153
1998-08-11,1998-05-13,1998-08-17,0.59208738692,0.540997497725,0.438004471631,0.77490508968,0.851575776369,0.806772856577,0.66024719569,0.887320543851,28,32,209,28,28,57,60,220,34,33,19,21,123,32,38,2522,2925,13963,2153,2559
1998-08-17,1998-08-11,1998-11-10,0.153808511922,0.15363392378,0.197219867229,0.214415565581,0.241635120222,0.237645250723,0.279363553514,0.280942022733,32,209,28,28,2,60,220,34,33,0,21,123,32,38,5,2925,13963,2153,2559,207
1998-11-10,1998-08-17,1999-03-31,0.442469599058,0.701937120403,0.758078345384,0.181519526885,0.68668069802,0.870971406199,0.89564594349,0.263250558322,209,28,28,2,31,220,34,33,0,83,123,32,38,5,34,13963,2153,2559,207,2805
1999-03-31,1998-11-10,1999-05-11,0.49286658715,0.468587057053,0.152155386853,0.552320539631,0.728323107866,0.693104265312,0.229909093205,0.750928744997,28,28,2,31,194,34,33,0,83,281,32,38,5,34,130,2153,2559,207,2805,12465
1999-05-11,1999-03-31,1999-08-11,0.457673598294,0.172008398109,0.53368640442,0.528178389408,0.754194866029,0.280141793471,0.781911873887,0.772130660086,28,2,31,194,40,33,0,83,281,70,38,5,34,130,41,2559,207,2805,12465,2806
1999-08-11,1999-05-11,1999-11-08,0.196847412084,0.570044072497,0.517449805747,0.831327865807,0.297736454708,0.81499614787,0.75610074768,0.910141148194,2,31,194,40,47,0,83,281,70,79,5,34,130,41,72,207,2805,12465,2806,3332
