filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-08-15,1995-03-16,0.554836978793,0.569211942385,0.600657125646,0.846107254815,0.76491817591,0.778468263943,0.707417556256,0.920677090024,214,102,47,74,67,347,125,140,124,113,436,79,258,168,88,22306,8813,7810,7956,6687
1995-03-16,1994-11-14,1995-05-15,0.750289012717,0.49846574511,0.558083127979,0.593971608774,0.894027917262,0.630310059341,0.752568510634,0.776823656931,102,47,74,67,248,125,140,124,113,366,79,258,168,88,396,8813,7810,7956,6687,23795
1995-05-15,1995-03-16,1995-08-14,0.91742769724,0.652786335516,0.601868233426,0.497478210702,0.97404664083,0.765213824632,0.716541697365,0.645033519921,47,74,67,248,80,140,124,113,366,191,258,168,88,396,348,7810,7956,6687,23795,10007
1995-08-14,1995-05-15,1995-11-14,0.738234129618,0.728490760993,0.58970014178,0.576058375427,0.861431709311,0.864054275066,0.778922775752,0.665405048371,74,67,248,80,62,124,113,366,191,107,168,88,396,348,24,7956,6687,23795,10007,5861
1995-11-14,1995-08-14,1996-03-07,0.779197360648,0.574435299918,0.560689598984,0.826217545529,0.908367067164,0.771722305989,0.658675197022,0.914392648636,67,248,80,62,47,113,366,191,107,97,88,396,348,24,26,6687,23795,10007,5861,5570
1996-03-07,1995-11-14,1996-05-14,0.855444263343,0.562304741363,0.568455805645,0.575487973125,0.941481350879,0.70925745002,0.752541030506,0.75509904938,248,80,62,47,284,366,191,107,97,429,396,348,24,26,596,23795,10007,5861,5570,27711
1996-05-14,1996-03-07,1996-08-13,0.594820157547,0.693366012596,0.719067670044,0.590530245402,0.716116877535,0.848615633318,0.855187902209,0.796685874877,80,62,47,284,58,191,107,97,429,99,348,24,26,596,61,10007,5861,5570,27711,5236
1996-08-13,1996-05-14,1996-11-14,0.68736688516,0.622093992217,0.569675953146,0.650899474197,0.811189387804,0.759767526139,0.766477057582,0.799039235205,62,47,284,58,88,107,97,429,99,160,24,26,596,61,191,5861,5570,27711,5236,7923
1996-11-14,1996-08-13,1997-03-04,0.872860151159,0.545700627454,0.71473282015,0.633501194968,0.964241075139,0.718872273448,0.84131175388,0.743166748307,47,284,58,88,49,97,429,99,160,80,26,596,61,191,29,5570,27711,5236,7923,5142
1997-03-04,1996-11-14,1997-05-14,0.9254060737,0.61471223995,0.555236722876,0.57144611548,0.981133688151,0.803680271196,0.746284851072,0.728181299677,284,58,88,49,263,429,99,160,80,379,596,61,191,29,529,27711,5236,7923,5142,26029
1997-05-14,1997-03-04,1997-08-13,0.515837542226,0.555344242202,0.427117093823,0.474334666693,0.69735887648,0.743351704447,0.559637181664,0.683560767344,58,88,49,263,68,99,160,80,379,182,61,191,29,529,514,5236,7923,5142,26029,11030
1997-08-13,1997-05-14,1997-11-13,0.695327705847,0.805490505552,0.580078900659,0.45815886209,0.809318481333,0.895633741804,0.755866978956,0.592717143652,88,49,263,68,46,160,80,379,182,79,191,29,529,514,38,7923,5142,26029,11030,5472
1997-11-13,1997-08-13,1998-02-27,0.507572908749,0.437504248281,0.63596546214,0.484623063289,0.669771885568,0.67212171194,0.815501415725,0.646144236673,49,263,68,46,82,80,379,182,79,189,29,529,514,38,237,5142,26029,11030,5472,10061
1998-02-27,1997-11-13,1998-05-13,0.845087625616,0.626952261506,0.502717579917,0.657434165286,0.911222615699,0.813475660445,0.663226960259,0.817547715822,263,68,46,82,344,379,182,79,189,590,529,514,38,237,951,26029,11030,5472,10061,34672
1998-05-13,1998-02-27,1998-08-14,0.481579895623,0.777575138653,0.444518445456,0.496985867195,0.620886487257,0.881214238443,0.620607333139,0.657464700709,68,46,82,344,44,182,79,189,590,76,514,38,237,951,33,11030,5472,10061,34672,4723
1998-08-14,1998-05-13,1998-11-13,0.731906161072,0.468653051837,0.59956318046,0.654711273422,0.871412519766,0.70690727977,0.786912522768,0.794697818325,46,82,344,44,107,79,189,590,76,178,38,237,951,33,199,5472,10061,34672,4723,10085
1998-11-13,1998-08-14,1999-03-17,0.419979043552,0.587403888658,0.368149113199,0.510868489059,0.657574161897,0.768337691133,0.510211129423,0.689345463862,82,344,44,107,157,189,590,76,178,392,237,951,33,199,988,10061,34672,4723,10085,21284
1999-03-17,1998-11-13,1999-03-23,0.684223973171,0.376400303694,0.509539389826,0.5524904417,0.810496455606,0.5519855578,0.692553067517,0.711868104563,344,44,107,157,561,590,76,178,392,1107,951,33,199,988,1806,34672,4723,10085,21284,48683
1999-03-23,1999-03-17,1999-05-17,0.0762462143469,0.0705944667417,0.0628345945287,0.131889116587,0.138616798046,0.135477615996,0.129494992201,0.236575045544,44,107,157,561,3,76,178,392,1107,2,33,199,988,1806,9,4723,10085,21284,48683,217
1999-05-17,1999-03-23,1999-08-16,0.429217563923,0.284001769045,0.566039875107,0.10769630952,0.635294660645,0.423680356478,0.712158223609,0.187008584002,107,157,561,3,96,178,392,1107,2,185,199,988,1806,9,71,10085,21284,48683,217,8338
1999-08-16,1999-05-17,1999-11-15,0.43151512345,0.666853786832,0.105673640368,0.734018766659,0.57444316406,0.816146983291,0.191078169574,0.852355902295,157,561,3,96,151,392,1107,2,185,278,988,1806,9,71,242,21284,48683,217,8338,12502
