filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2004-03-15,2003-11-14,2004-05-10,0.779525534095,0.550911763191,0.551238645788,0.565304896098,0.922704341781,0.728014062308,0.721702272221,0.726519437388,246,21,36,44,322,614,67,90,79,784,589,46,52,51,745,24173,4565,5167,4948,26754
2004-05-10,2004-03-15,2004-08-09,0.800981166514,0.767072709708,0.786295962078,0.574947364046,0.940061260872,0.906172380131,0.914290495023,0.742269345331,21,36,44,322,24,67,90,79,784,66,46,52,51,745,45,4565,5167,4948,26754,4564
2004-08-09,2004-05-10,2004-11-09,0.833998934574,0.782121628983,0.556261570338,0.834655246076,0.950346173715,0.915418460356,0.726426831671,0.927502162819,36,44,322,24,40,90,79,784,66,78,52,51,745,45,56,5167,4948,26754,4564,5640
2004-11-09,2004-08-09,2005-03-08,0.264019366484,0.310040863587,0.257891411769,0.262538972637,0.395576151371,0.484788112684,0.390179041134,0.39157305335,44,322,24,40,332,79,784,66,78,628,51,745,45,56,1234,4948,26754,4564,5640,25108
2005-03-08,2004-11-09,2005-05-06,0.855217325332,0.541586931875,0.525787198761,0.311996629273,0.95863694546,0.723458929012,0.703015325394,0.48987308276,322,24,40,332,288,784,66,78,628,732,745,45,56,1234,921,26754,4564,5640,25108,27888
2005-05-06,2005-03-08,2005-08-08,0.56028916253,0.51260672342,0.244467085199,0.483956464383,0.800483200641,0.763725351756,0.426336580338,0.750305982432,24,40,332,288,80,66,78,628,732,263,45,56,1234,921,388,4564,5640,25108,27888,9247
2005-08-08,2005-05-06,2005-11-07,0.713678678829,0.227942314537,0.516554852041,0.573821356173,0.889163542182,0.37268181246,0.711938123801,0.800679964385,40,332,288,80,77,78,628,732,263,160,56,1234,921,388,147,5640,25108,27888,9247,7249
2005-11-07,2005-08-08,2006-03-02,0.237710301069,0.498598235024,0.544547723763,0.78246126469,0.384978582794,0.703387026508,0.782076052418,0.895749165707,332,288,80,77,72,628,732,263,160,201,1234,921,388,147,176,25108,27888,9247,7249,7206
2006-03-02,2005-11-07,2006-05-09,0.837961831023,0.50678032039,0.586487378966,0.604608390613,0.935089672167,0.757507526832,0.752753713739,0.763844113489,288,80,77,72,254,732,263,160,201,646,921,388,147,176,554,27888,9247,7249,7206,23292
2006-05-09,2006-03-02,2006-08-09,0.483685083072,0.589548702722,0.572659125366,0.562401993106,0.757777582448,0.798889997256,0.790936751079,0.772460652228,80,77,72,254,79,263,160,201,646,182,388,147,176,554,150,9247,7249,7206,23292,7589
2006-08-09,2006-05-09,2006-11-08,0.707349787969,0.604618864102,0.542651071015,0.797245493726,0.877186668224,0.809183026158,0.73290015057,0.905375967647,77,72,254,79,117,160,201,646,182,215,147,176,554,150,132,7249,7206,23292,7589,9768
