filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-04-23,1995-12-05,1996-06-12,0.467881877673,0.17605984633,0.159911162871,0.184203362375,0.754241953891,0.468872986889,0.460638453265,0.489574887459,37,5,6,5,60,25,1,4,5,140,36,9,24,10,150,5316,1168,1451,1383,9132
1996-06-12,1996-04-23,1996-09-10,0.585048923029,0.415827526515,0.503621767793,0.217472321618,0.856447835393,0.745891960274,0.787604139681,0.517746613789,5,6,5,60,3,1,4,5,140,8,9,24,10,150,10,1168,1451,1383,9132,1288
1996-09-10,1996-06-12,1996-12-12,0.485951811907,0.467291522531,0.211666317977,0.702760546822,0.810277189626,0.78057003843,0.524150767242,0.895763668028,6,5,60,3,5,4,5,140,8,11,24,10,150,10,10,1451,1383,9132,1288,1483
1996-12-12,1996-09-10,1997-04-21,0.501529619278,0.20554505153,0.698022848095,0.739847834403,0.822429158615,0.521073121084,0.892010304648,0.904630367612,5,60,3,5,6,5,140,8,11,12,10,150,10,10,10,1383,9132,1288,1483,1369
1997-04-21,1996-12-12,1997-06-10,0.451267091839,0.373410558616,0.360199547001,0.353427292307,0.750363694682,0.647655510202,0.652611148636,0.643711666191,60,3,5,6,46,140,8,11,12,67,150,10,10,10,111,9132,1288,1483,1369,7160
1997-06-10,1997-04-21,1997-06-20,0.609635654847,0.465158757098,0.462616427655,0.332870893515,0.888035567623,0.817787684631,0.808395651446,0.641847411655,3,5,6,46,10,8,11,12,67,4,10,10,10,111,9,1288,1483,1369,7160,1333
1997-06-20,1997-06-10,1997-09-09,0.377126434442,0.378859750922,0.711001559397,0.365474520798,0.68915135912,0.68276094397,0.852043588013,0.687071260821,5,6,46,10,20,11,12,67,4,22,10,10,111,9,31,1483,1369,7160,1333,3622
1997-09-09,1997-06-20,1997-12-10,0.453198964636,0.327493562867,0.577049119169,0.343117228271,0.802009162613,0.662085857293,0.858089930548,0.688540021158,6,46,10,20,15,12,67,4,22,8,10,111,9,31,10,1369,7160,1333,3622,1700
1997-12-10,1997-09-09,1998-04-23,0.322846840465,0.521215640555,0.352676100819,0.624357675912,0.643409636755,0.838222003625,0.684842343375,0.867619113699,46,10,20,15,14,67,4,22,8,10,111,9,31,10,9,7160,1333,3622,1700,1612
1998-04-23,1997-12-10,1998-06-15,0.34807990618,0.670151480706,0.362742362127,0.383678211103,0.656437481773,0.867389663854,0.67683244075,0.674893355088,10,20,15,14,47,4,22,8,10,54,9,31,10,9,86,1333,3622,1700,1612,8502
