filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2007-11-07,2007-08-07,2008-02-26,0.713352883378,0.666394675373,0.743328106421,0.605206720787,0.82100010214,0.808492231277,0.880646514705,0.74745057987,182,384,97,186,116,505,762,195,367,194,520,622,151,605,156,21644,37226,11902,19690,13078
2008-02-26,2007-11-07,2008-05-02,0.919914505385,0.730754700594,0.604193559799,0.674849905178,0.977805978882,0.856611082804,0.734167383392,0.807337446017,384,97,186,116,364,762,195,367,194,798,622,151,605,156,691,37226,11902,19690,13078,38918
2008-05-02,2008-02-26,2008-08-05,0.779913893375,0.546249163142,0.625704575506,0.676777343866,0.899308456668,0.71015730879,0.799612705953,0.805183753629,97,186,116,364,118,195,367,194,798,241,151,605,156,691,148,11902,19690,13078,38918,11582
2008-08-05,2008-05-02,2008-11-03,0.691342205983,0.59414721679,0.639833682382,0.75871652213,0.812788049078,0.794672058389,0.795775920309,0.889409562793,186,116,364,118,151,367,194,798,241,270,605,156,691,148,211,19690,13078,38918,11582,13841
2008-11-03,2008-08-05,2009-02-19,0.732859571213,0.611222872635,0.672753463908,0.684267998741,0.845088410184,0.763294131147,0.820688132951,0.84339155755,116,364,118,151,199,194,798,241,270,425,156,691,148,211,496,13078,38918,11582,13841,18267
2009-02-19,2008-11-03,2009-05-04,0.774863902002,0.579201956418,0.601760724385,0.705851961931,0.852659040983,0.712800785232,0.752845917941,0.823540776402,364,118,151,199,804,798,241,270,425,1963,691,148,211,496,2364,38918,11582,13841,18267,67901
2009-05-04,2009-02-19,2009-08-04,0.359371193959,0.310687299417,0.300810723349,0.295760496469,0.485890007767,0.452741687329,0.44154400479,0.411072847705,118,151,199,804,367,241,270,425,1963,2788,148,211,496,2364,662,11582,13841,18267,67901,38071
2009-08-04,2009-05-04,2009-10-30,0.302404208573,0.22834417939,0.21707501311,0.764853052305,0.430644908184,0.373484796567,0.33689394697,0.888241203054,151,199,804,367,399,270,425,1963,2788,2995,211,496,2364,662,508,13841,18267,67901,38071,32072
2009-10-30,2009-08-04,2010-02-26,0.322341589191,0.294584141758,0.784295445026,0.945363306586,0.45745083735,0.418654272278,0.891784948359,0.960165846468,199,804,367,399,452,425,1963,2788,2995,3429,496,2364,662,508,942,18267,67901,38071,32072,40265
2010-02-26,2009-10-30,2010-05-06,0.905266326847,0.32946134482,0.253877795036,0.336947395304,0.95267385073,0.447712182027,0.37934572784,0.460806113864,804,367,399,452,1220,1963,2788,2995,3429,3038,2364,662,508,942,3226,67901,38071,32072,40265,102987
2010-05-06,2010-02-26,2010-08-04,0.402487062926,0.301293042399,0.35942452578,0.742665288261,0.520930359433,0.437376483529,0.491691520416,0.837961778464,367,399,452,1220,343,2788,2995,3429,3038,633,662,508,942,3226,739,38071,32072,40265,102987,28977
2010-08-04,2010-05-06,2010-11-05,0.331200119489,0.362445148071,0.740918063465,0.781553313154,0.455294557877,0.494433043882,0.830451602711,0.875229237924,399,452,1220,343,768,2995,3429,3038,633,1437,508,942,3226,739,1232,32072,40265,102987,28977,45850
