filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2003-11-07,2003-08-11,2004-03-11,0.487022486668,0.455237252618,0.707828770545,0.701103010263,0.765906337664,0.69550661607,0.884214346921,0.873879283082,35,195,26,47,39,111,498,89,99,85,65,729,31,167,48,4524,22794,4696,6900,5797
2004-03-11,2003-11-07,2004-03-12,0.632623784638,0.600342030721,0.536810666995,0.62028257095,0.813010600465,0.815900556426,0.785092785477,0.836307552595,195,26,47,39,87,498,89,99,85,317,729,31,167,48,213,22794,4696,6900,5797,15049
2004-03-12,2004-03-11,2004-05-05,0.600616648506,0.537150288355,0.620506818733,0.999821099144,0.816242695318,0.785573315328,0.836628003449,0.99996651797,26,47,39,87,87,89,99,85,317,317,31,167,48,213,214,4696,6900,5797,15049,15061
2004-05-05,2004-03-12,2004-08-05,0.572494175575,0.647773969604,0.685813050838,0.685976887938,0.830091615912,0.861260511419,0.84527127311,0.845533342871,47,39,87,87,36,99,85,317,317,112,167,48,213,214,64,6900,5797,15049,15061,5503
2004-08-05,2004-05-05,2004-11-04,0.618907177377,0.658189228808,0.658328117526,0.843312391743,0.847191315552,0.825452002563,0.825670775058,0.935488986,39,87,87,36,39,85,317,317,112,112,48,213,214,64,65,5797,15049,15061,5503,5730
2004-11-04,2004-08-05,2005-03-15,0.493359865323,0.49356724687,0.585128529542,0.58828891822,0.77423494579,0.77455829796,0.836435188131,0.829533639194,87,87,36,39,68,317,317,112,112,174,213,214,64,65,328,15049,15061,5503,5730,8732
2005-03-15,2004-11-04,2005-05-09,0.872218598167,0.663338279668,0.645423430353,0.489752720892,0.954941620449,0.839787519498,0.818613615521,0.768412782423,87,36,39,68,112,317,112,112,174,331,214,64,65,328,215,15061,5503,5730,8732,15479
2005-05-09,2005-03-15,2005-08-09,0.783533234028,0.68837549292,0.511093775691,0.686025732135,0.928911128005,0.875016700618,0.801685517417,0.850123961609,36,39,68,112,37,112,112,174,331,94,64,65,328,215,50,5503,5730,8732,15479,5606
2005-08-09,2005-05-09,2005-11-07,0.157447790115,0.458224996287,0.157718716209,0.156879144614,0.335342606632,0.570578332925,0.329286765369,0.340440068398,39,68,112,37,388,112,174,331,94,1194,65,328,215,50,2576,5730,8732,15479,5606,42705
2005-11-07,2005-08-09,2006-03-09,0.451387306102,0.580291646709,0.640431238682,0.187540049823,0.758405295668,0.782887882259,0.841856531544,0.361952908197,68,112,37,388,67,174,331,94,1194,137,328,215,50,2576,76,8732,15479,5606,42705,8765
2006-03-09,2005-11-07,2006-05-05,0.713496412337,0.560527482208,0.275323500921,0.655383572084,0.891640174005,0.790656380302,0.447042208147,0.810674452538,112,37,388,67,236,331,94,1194,137,517,215,50,2576,76,596,15479,5606,42705,8765,23570
2006-05-05,2006-03-09,2006-08-03,0.699049168516,0.173915200545,0.778584697477,0.670903476748,0.883226299221,0.351074472971,0.904721861691,0.839397110618,37,388,67,236,57,94,1194,137,517,118,50,2576,76,596,53,5606,42705,8765,23570,7502
2006-08-03,2006-05-05,2006-11-06,0.180534250882,0.756667715696,0.638565345616,0.841690156639,0.35425781131,0.902479560549,0.810312553697,0.92831975683,388,67,236,57,64,1194,137,517,118,126,2576,76,596,53,65,42705,8765,23570,7502,8260
2006-11-06,2006-08-03,2007-02-28,0.797837052596,0.619039325659,0.794041276161,0.822337784654,0.941185266532,0.791681005312,0.900299153501,0.916724321995,67,236,57,64,73,137,517,118,126,161,76,596,53,65,88,8765,23570,7502,8260,8639
2007-02-28,2006-11-06,2007-05-09,0.775619471624,0.717170721691,0.713553473641,0.751135595744,0.912115207573,0.862709361785,0.850910451702,0.860253792649,236,57,64,73,168,517,118,126,161,402,596,53,65,88,277,23570,7502,8260,8639,18245
2007-05-09,2007-02-28,2007-08-02,0.769946706583,0.7160884807,0.781818954692,0.741932322471,0.922649251996,0.87741013192,0.902553423191,0.867422500348,57,64,73,168,64,118,126,161,402,153,53,65,88,277,104,7502,8260,8639,18245,7820
2007-08-02,2007-05-09,2007-11-07,0.80169527182,0.767938927454,0.712308099434,0.82211049147,0.940530837845,0.902126737439,0.846464550053,0.914413458783,64,73,168,64,77,126,161,402,153,163,65,88,277,104,111,8260,8639,18245,7820,8599
2007-11-07,2007-08-02,2008-02-28,0.850768432688,0.71886300664,0.832464556094,0.876260782054,0.961659413666,0.848399569338,0.919950460327,0.933477829069,73,168,64,77,81,161,402,153,163,172,88,277,104,111,109,8639,18245,7820,8599,8627
2008-02-28,2007-11-07,2008-03-13,0.908113481788,0.701167329728,0.692191019586,0.702883840296,0.974236709537,0.84959618355,0.832193965195,0.837517901877,168,64,77,81,188,402,153,163,172,410,277,104,111,109,234,18245,7820,8599,8627,18672
2008-03-13,2008-02-28,2008-05-06,0.703818790014,0.691341884027,0.702018057388,0.996526897644,0.852970660659,0.831775650265,0.837094103791,0.999245655545,64,77,81,188,188,153,163,172,410,410,104,111,109,234,236,7820,8599,8627,18672,18731
2008-05-06,2008-03-13,2008-08-05,0.706762709582,0.723966047802,0.721324491496,0.724245032343,0.864492262243,0.874068218013,0.851822737355,0.855420771119,77,81,188,188,45,163,172,410,410,117,111,109,234,236,48,8599,8627,18672,18731,6751
