filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-08-12,1995-03-28,0.123626883882,0.327393241371,0.136091189879,0.159105644337,0.307629078938,0.574660574459,0.333614121018,0.325917385282,24,548,47,29,252,47,773,77,32,839,96,1371,61,60,1982,4034,35862,3395,3355,32296
1995-03-28,1994-11-14,1995-05-15,0.607406161334,0.281853925982,0.285694959772,0.393489581386,0.866498741039,0.595058324042,0.545240971121,0.608783366223,548,47,29,252,496,773,77,32,839,741,1371,61,60,1982,1904,35862,3395,3355,32296,45606
1995-05-15,1995-03-28,1995-08-03,0.442418748395,0.28978207965,0.128542946628,0.275176542372,0.706416162254,0.621279019239,0.314069875427,0.535214892824,47,29,252,496,47,77,32,839,741,139,61,60,1982,1904,129,3395,3355,32296,45606,5662
1995-08-03,1995-05-15,1995-08-04,0.404080887231,0.11929190926,0.260508055161,0.66639813663,0.727034415746,0.281407914322,0.476472213573,0.844810618287,29,252,496,47,32,32,839,741,139,26,60,1982,1904,129,103,3355,32296,45606,5662,4625
1995-08-04,1995-08-03,1995-08-07,0.119370171517,0.262359430012,0.667018273988,0.997077681858,0.281482862643,0.479793138665,0.845391897459,0.999394545481,252,496,47,32,32,839,741,139,26,26,1982,1904,129,103,102,32296,45606,5662,4625,4633
1995-08-07,1995-08-04,1995-11-13,0.258604437373,0.661695202144,0.98274892833,0.985343613294,0.473814409514,0.845322462311,0.996152519129,0.996695033185,496,47,32,32,30,741,139,26,26,30,1904,129,103,102,102,45606,5662,4625,4633,4741
1995-11-13,1995-08-07,1996-01-04,0.446499065438,0.650379226969,0.652081427488,0.640574378965,0.755506224077,0.863988777718,0.865168048266,0.855990864356,47,32,32,30,34,139,26,26,30,44,129,103,102,102,108,5662,4625,4633,4741,4152
1996-01-04,1995-11-13,1996-03-29,0.186774609753,0.187371269691,0.180018542402,0.303810699167,0.354921368351,0.355917359129,0.345158110958,0.432402499706,32,32,30,34,4,26,26,30,44,2,103,102,102,108,8,4625,4633,4741,4152,401
1996-03-29,1996-01-04,1996-05-15,0.528833541009,0.531733802293,0.496354523972,0.183865279735,0.707744378113,0.704708512438,0.737719834191,0.320611715197,32,30,34,4,328,26,30,44,2,519,102,102,108,8,773,4633,4741,4152,401,33212
1996-05-15,1996-03-29,1996-08-14,0.169486227386,0.185019291853,0.0829874793684,0.229518320399,0.336906171891,0.36444844207,0.201020935525,0.421470458308,30,34,4,328,95,30,44,2,519,280,102,108,8,773,886,4741,4152,401,33212,15113
1996-08-14,1996-05-15,1996-11-14,0.547435891121,0.192212573664,0.514977509365,0.226684555275,0.848308352274,0.364357797166,0.770540728122,0.390515678989,34,4,328,95,27,44,2,519,280,88,108,8,773,886,133,4152,401,33212,15113,5401
1996-11-14,1996-08-14,1997-03-27,0.22329286971,0.510621200893,0.217012927173,0.805786882551,0.391303719934,0.775196895197,0.39945711019,0.944370145823,4,328,95,27,35,2,519,280,88,101,8,773,886,133,156,401,33212,15113,5401,5868
1997-03-27,1996-11-14,1997-05-15,0.892678169659,0.230761474223,0.517930099362,0.5380390568,0.97994884334,0.423343681933,0.768128811645,0.780642394783,328,95,27,35,357,519,280,88,101,654,773,886,133,156,846,33212,15113,5401,5868,36736
1997-05-15,1997-03-27,1997-08-13,0.190443214458,0.529163601307,0.535954167883,0.506448492879,0.378759960947,0.824492837259,0.831917218184,0.775050057904,95,27,35,357,25,280,88,101,654,103,886,133,156,846,119,15113,5401,5868,36736,4868
1997-08-13,1997-05-15,1997-11-14,0.48855681671,0.458769016007,0.452576405059,0.556265712341,0.83863659085,0.809211705686,0.760264670819,0.810552262344,27,35,357,25,21,88,101,654,103,124,133,156,846,119,104,5401,5868,36736,4868,5948
1997-11-14,1997-08-13,1998-03-30,0.455776345949,0.456463034937,0.513807171078,0.747458034975,0.814878834244,0.778347870775,0.806776303415,0.929131870302,35,357,25,21,25,101,654,103,124,146,156,846,119,104,116,5868,36736,4868,5948,5872
