filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-04-14,1997-02-24,1997-07-08,0.642426835498,0.504281774382,0.499281921161,0.415399730404,0.877295206845,0.800482830651,0.797677637296,0.680429328496,20,29,21,196,31,40,42,59,579,64,24,26,38,627,49,1992,2560,2841,15429,2584
1997-07-08,1997-04-14,1997-10-14,0.573917443955,0.519690320219,0.413264331507,0.711368886921,0.865681152248,0.848857715472,0.695742906587,0.892515350949,29,21,196,31,41,42,59,579,64,82,26,38,627,49,67,2560,2841,15429,2584,3566
1997-10-14,1997-07-08,1998-02-25,0.613683329317,0.386251592124,0.628909718927,0.750309434135,0.885422485727,0.659048957197,0.853187471222,0.927975433731,21,196,31,41,45,59,579,64,82,77,38,627,49,67,61,2841,15429,2584,3566,3539
1998-02-25,1997-10-14,1998-04-14,0.736990247302,0.46833174891,0.485668325787,0.4656672149,0.881588311423,0.741114311065,0.765338461618,0.734078940447,196,31,41,45,142,579,64,82,77,532,627,49,67,61,309,15429,2584,3566,3539,13443
1998-04-14,1998-02-25,1998-04-21,0.657823604637,0.546978012513,0.522261910298,0.515512236756,0.884381991786,0.836184205351,0.809496797916,0.772745759571,31,41,45,142,32,64,82,77,532,80,49,67,61,309,68,2584,3566,3539,13443,3184
1998-04-21,1998-04-14,1998-06-26,0.548863346198,0.52413421707,0.517582301957,0.995748648836,0.836348042838,0.809731796653,0.774881077151,0.999016877286,41,45,142,32,32,82,77,532,80,80,67,61,309,68,68,3566,3539,13443,3184,3206
1998-06-26,1998-04-21,1998-07-15,0.45952240048,0.986532507974,0.507655593225,0.508636979201,0.728334829361,0.996420761598,0.764379938617,0.766057289653,45,142,32,32,144,77,532,80,80,569,61,309,68,68,330,3539,13443,3184,3206,13674
1998-07-15,1998-06-26,1998-10-15,0.486854064056,0.622435132716,0.624473004954,0.48144262116,0.784644948779,0.884446488037,0.885186606852,0.778521972898,142,32,32,144,55,532,80,80,569,115,309,68,68,330,94,13443,3184,3206,13674,4264
1998-10-15,1998-07-15,1999-03-01,0.477932391402,0.479790926094,0.411221534167,0.519086038805,0.776830702945,0.777262819445,0.708675462919,0.829390032208,32,32,144,55,42,80,80,569,115,121,68,68,330,94,78,3184,3206,13674,4264,3914
1999-03-01,1998-10-15,1999-03-04,0.236806557661,0.335551908691,0.240660240976,0.240212033034,0.390418122215,0.470519303232,0.408207128622,0.412997887433,32,144,55,42,746,80,569,115,121,2934,68,330,94,78,7030,3206,13674,4264,3914,92364
