filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-06-24,1997-02-11,1997-08-11,0.444298979419,0.458988618155,0.461129268325,0.468238206991,0.670347630583,0.71457541206,0.710115020862,0.710417546133,385,44,48,51,168,973,81,93,91,289,1979,30,42,38,335,35159,3237,3779,3766,15119
1997-08-11,1997-06-24,1997-11-07,0.699660147811,0.665620806551,0.679000180599,0.490262128379,0.914082878522,0.892379997247,0.900541836925,0.713752304512,44,48,51,168,44,81,93,91,289,84,30,42,38,335,40,3237,3779,3766,15119,3377
1997-11-07,1997-08-11,1998-02-05,0.159251099335,0.148844968983,0.186107181621,0.178415736274,0.424042251687,0.413040202073,0.431686018253,0.431155648133,48,51,168,44,124,93,91,289,84,445,42,38,335,40,591,3779,3766,15119,3377,10544
1998-02-05,1997-11-07,1998-06-19,0.234831263696,0.267549989755,0.260426141654,0.171873996808,0.524375203805,0.539107955235,0.53565828684,0.456527444162,51,168,44,124,120,91,289,84,445,502,38,335,40,591,600,3766,15119,3377,10544,11664
1998-06-19,1998-02-05,1998-08-07,0.671628671653,0.598839631169,0.150847724846,0.240878851327,0.857387140242,0.831534015302,0.399133216058,0.520408412019,168,44,124,120,163,289,84,445,502,196,335,40,591,600,104,15119,3377,10544,11664,11887
1998-08-07,1998-06-19,1998-11-12,0.727826161435,0.152199375492,0.247572470974,0.645743817213,0.933652846236,0.413829447444,0.520375324875,0.857102093882,44,124,120,163,55,84,445,502,196,106,40,591,600,104,46,3377,10544,11664,11887,3690
1998-11-12,1998-08-07,1999-02-10,0.152986398949,0.232329341658,0.608935139609,0.780702823909,0.416945572833,0.511560574053,0.840966446905,0.933113374815,124,120,163,55,66,445,502,196,106,133,591,600,104,46,66,10544,11664,11887,3690,4545
1999-02-10,1998-11-12,1999-06-18,0.240259785016,0.6190016337,0.768284712958,0.878132376884,0.521171645534,0.857297241331,0.939386089015,0.966570926383,120,163,55,66,71,502,196,106,133,144,600,104,46,66,64,11664,11887,3690,4545,4587
1999-06-18,1999-02-10,1999-08-12,0.792685489948,0.55783035695,0.57663898842,0.603498400159,0.945932860587,0.822443912299,0.817647428303,0.836949578803,163,55,66,71,194,196,106,133,144,240,104,46,66,64,135,11887,3690,4545,4587,11964
1999-08-12,1999-06-18,1999-11-09,0.598835035639,0.622926950376,0.649795900652,0.604273246348,0.841027615937,0.828590617583,0.839119430851,0.784002228311,55,66,71,194,84,106,133,144,240,144,46,66,64,135,60,3690,4545,4587,11964,4073
1999-11-09,1999-08-12,2000-02-04,0.57581121082,0.556642888035,0.528225598277,0.773704405317,0.736780216772,0.720742865215,0.686989752227,0.886913247995,66,71,194,84,92,133,144,240,144,163,66,64,135,60,82,4545,4587,11964,4073,4851
2000-02-04,1999-11-09,2000-06-05,0.539264095445,0.51594038684,0.712019947734,0.823042176214,0.719735807207,0.698044654969,0.881651209464,0.949956647251,71,194,84,92,84,144,240,144,163,139,64,135,60,82,73,4587,11964,4073,4851,4613
2000-06-05,2000-02-04,2000-08-11,0.788084585116,0.530530352009,0.546990594936,0.57891630711,0.880540899701,0.773105231173,0.780043946522,0.806737176585,194,84,92,84,176,240,144,163,139,251,135,60,82,73,177,11964,4073,4851,4613,11664
2000-08-11,2000-06-05,2000-11-13,0.640159256463,0.646912541499,0.688402659177,0.568808801591,0.864653020793,0.859304490534,0.891990826847,0.790681709978,84,92,84,176,67,144,163,139,251,190,60,82,73,177,128,4073,4851,4613,11664,4535
2000-11-13,2000-08-11,2001-02-05,0.678647525877,0.691192785379,0.560186876529,0.853966289361,0.897419330408,0.910203301162,0.796662532545,0.951130565828,92,84,176,67,72,163,139,251,190,198,82,73,177,128,124,4851,4613,11664,4535,4769
2001-02-05,2000-11-13,2001-06-12,0.638412023586,0.531942072248,0.763909024095,0.83979161673,0.893251667299,0.79298622166,0.918451249004,0.952692984746,84,176,67,72,80,139,251,190,198,240,73,177,128,124,147,4613,11664,4535,4769,5324
2001-06-12,2001-02-05,2001-08-10,0.827454440389,0.547295034298,0.575030007324,0.587522898158,0.961083021863,0.777159814801,0.796474096036,0.811236308254,176,67,72,80,186,251,190,198,240,341,177,128,124,147,229,11664,4535,4769,5324,13097
2001-08-10,2001-06-12,2001-11-13,0.576659904068,0.574202041771,0.568521755735,0.503686407683,0.865212191098,0.858590054662,0.856374138236,0.784284158347,67,72,80,186,78,190,198,240,341,126,128,124,147,229,66,4535,4769,5324,13097,4258
2001-11-13,2001-08-10,2002-02-12,0.526021631727,0.506648494198,0.458732065381,0.639689941303,0.813906475105,0.808306373447,0.734371755445,0.848395829671,72,80,186,78,86,198,240,341,126,183,124,147,229,66,81,4769,5324,13097,4258,4931
2002-02-12,2001-11-13,2002-06-17,0.545205104956,0.46641734205,0.616094008098,0.783271164753,0.84155785703,0.746742348359,0.851878997526,0.92938664058,80,186,78,86,83,240,341,126,183,167,147,229,66,81,62,5324,13097,4258,4931,4878
2002-06-17,2002-02-12,2002-08-13,0.673204788867,0.440210632613,0.49006446633,0.509277144795,0.887754999653,0.716179699966,0.732557214111,0.74356917062,186,78,86,83,209,341,126,183,167,431,229,66,81,62,269,13097,4258,4931,4878,15778
2002-08-13,2002-06-17,2002-11-12,0.523452224492,0.492323821102,0.545802160229,0.534394800439,0.832136359585,0.789515699887,0.81487231731,0.768540003801,78,86,83,209,68,126,183,167,431,172,66,81,62,269,84,4258,4931,4878,15778,5193
2002-11-12,2002-08-13,2003-02-10,0.563922701477,0.540336460164,0.512398127312,0.683385436695,0.836231867177,0.81588967395,0.764337425362,0.858726702716,86,83,209,68,96,183,167,431,172,248,81,62,269,84,96,4931,4878,15778,5193,6953
2003-02-10,2002-11-12,2003-06-12,0.559821549151,0.489449063551,0.61297467422,0.784143729701,0.834820539634,0.762885373207,0.835677452111,0.923649417186,83,209,68,96,101,167,431,172,248,328,62,269,84,96,105,4878,15778,5193,6953,7708
2003-06-12,2003-02-10,2003-08-12,0.740927828252,0.547885270631,0.581093362981,0.615113405434,0.914193881108,0.794649886282,0.810771378923,0.829167020832,209,68,96,101,226,431,172,248,328,516,269,84,96,105,222,15778,5193,6953,7708,16613
2003-08-12,2003-06-12,2003-11-07,0.639518580453,0.626372414767,0.634003797298,0.655553029118,0.866055482744,0.849233066249,0.853675986902,0.852940192968,68,96,101,226,93,172,248,328,516,260,84,96,105,222,145,5193,6953,7708,16613,7831
2003-11-07,2003-08-12,2004-01-30,0.652169270723,0.6205561923,0.609891663288,0.767443955033,0.894920728106,0.86646496904,0.836216521504,0.910710193339,96,101,226,93,102,248,328,516,260,236,96,105,222,145,109,6953,7708,16613,7831,8340
2004-01-30,2003-11-07,2004-06-04,0.658123440173,0.621732809832,0.741333968295,0.825107896726,0.892764907949,0.845573567714,0.902685149683,0.945035861684,101,226,93,102,116,328,516,260,236,284,105,222,145,109,103,7708,16613,7831,8340,8741
2004-06-04,2004-01-30,2004-08-06,0.816839864262,0.630284432482,0.631628095059,0.664366733529,0.953403141199,0.850819932923,0.848352092708,0.861831302084,226,93,102,116,238,516,260,236,284,504,222,145,109,103,248,16613,7831,8340,8741,17685
2004-08-06,2004-06-04,2004-11-05,0.696539844293,0.698315276829,0.711501912434,0.711386424374,0.907738718407,0.8948470476,0.896950936682,0.881849338858,93,102,116,238,102,260,236,284,504,239,145,109,103,248,144,7831,8340,8741,17685,8555
2004-11-05,2004-08-06,2005-02-09,0.743556004949,0.713639572784,0.670750361392,0.833226665554,0.927531418056,0.909953545908,0.858630860075,0.937265023417,102,116,238,102,114,236,284,504,239,254,109,103,248,144,149,8340,8741,17685,8555,9360
2005-02-09,2004-11-05,2005-06-01,0.720649422751,0.660501566858,0.767395124827,0.837863143975,0.929475267898,0.864299888409,0.923122250178,0.95183965321,116,238,102,114,122,284,504,239,254,288,103,248,144,149,143,8741,17685,8555,9360,9823
2005-06-01,2005-02-09,2005-08-08,0.818884849562,0.660003045371,0.667949898859,0.713945755036,0.947854654725,0.875950496924,0.861147538267,0.876547650787,238,102,114,122,226,504,239,254,288,431,248,144,149,143,214,17685,8555,9360,9823,17735
2005-08-08,2005-06-01,2005-08-12,0.768585252034,0.734685536108,0.768012205727,0.717338289693,0.942474433574,0.904547028935,0.913192641743,0.885913671474,102,114,122,226,91,239,254,288,431,270,144,149,143,214,122,8555,9360,9823,17735,9095
2005-08-12,2005-08-08,2005-11-04,0.223942531409,0.221921461227,0.247720343436,0.269849287343,0.386333222009,0.381277225838,0.408319374639,0.438520130654,114,122,226,91,10,254,288,431,270,26,149,143,214,122,11,9360,9823,17735,9095,1187
2005-11-04,2005-08-12,2006-02-03,0.4553781347,0.42959528979,0.496687547342,0.1633711628,0.761527431175,0.734607634131,0.771716134387,0.359448826085,122,226,91,10,165,288,431,270,26,619,143,214,122,11,580,9823,17735,9095,1187,15917
2006-02-03,2005-11-04,2006-05-31,0.662445030715,0.764377628175,0.242586716239,0.499203372003,0.866424290291,0.919267760436,0.403429579553,0.784680645779,226,91,10,165,125,431,270,26,619,301,214,122,11,580,150,17735,9095,1187,15917,10288
2006-05-31,2006-02-03,2006-08-15,0.560835893846,0.216998062737,0.408328560986,0.574852985405,0.804368694571,0.394025652763,0.714084933095,0.80066231284,91,10,165,125,271,270,26,619,301,552,122,11,580,150,641,9095,1187,15917,10288,24310
2006-08-15,2006-05-31,2006-11-03,0.235936830891,0.399924624674,0.66600021435,0.527727658224,0.392139560744,0.703875025644,0.859627806634,0.764051354778,10,165,125,271,100,26,619,301,552,464,11,580,150,641,186,1187,15917,10288,24310,11009
2006-11-03,2006-08-15,2007-02-02,0.432340537411,0.697929422927,0.525954313929,0.869487312835,0.73636807317,0.898084719479,0.76618230677,0.9427958013,165,125,271,100,124,619,301,552,464,489,580,150,641,186,222,15917,10288,24310,11009,11962
2007-02-02,2006-11-03,2007-02-06,0.745408660205,0.523490108539,0.830037713862,0.86550321976,0.919152623393,0.766026948943,0.935312586274,0.960926616589,125,271,100,124,133,301,552,464,489,465,150,641,186,222,201,10288,24310,11009,11962,12152
2007-02-06,2007-02-02,2007-05-30,0.482834908952,0.741684261519,0.777255257332,0.873604757339,0.719182812986,0.869790392886,0.892966614379,0.923209039377,271,100,124,133,42,552,464,489,465,150,641,186,222,201,89,24310,11009,11962,12152,5055
2007-05-30,2007-02-06,2007-08-07,0.383273289173,0.379875483072,0.381633452044,0.384764198328,0.604805108305,0.596069339405,0.589131968106,0.601616285278,100,124,133,42,586,464,489,465,150,1730,186,222,201,89,2826,11009,11962,12152,5055,60037
2007-08-07,2007-05-30,2007-11-08,0.739592103124,0.749340649338,0.674806795663,0.414612038863,0.903107536473,0.908969778353,0.839505299134,0.624358605985,124,133,42,586,99,489,465,150,1730,315,222,201,89,2826,120,11962,12152,5055,60037,10366
2007-11-08,2007-08-07,2008-02-05,0.671860617728,0.608737210262,0.412279856478,0.754543793178,0.894066097348,0.830973941942,0.638991100886,0.909204145294,133,42,586,99,142,465,150,1730,315,363,201,89,2826,120,213,12152,5055,60037,10366,12282
