filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-10,1994-11-14,1995-05-11,0.774167100723,0.360804596998,0.345603906031,0.366356936554,0.894684165328,0.670709175934,0.643692959187,0.652501981132,126,21,16,16,101,253,23,51,23,178,438,21,49,20,186,14333,1447,1958,1632,10483
1995-05-11,1995-03-10,1995-08-10,0.570029938784,0.43135796393,0.516099125382,0.361760212334,0.905601321896,0.787303921656,0.849376774261,0.66760567678,21,16,16,101,21,23,51,23,178,28,21,49,20,186,13,1447,1958,1632,10483,1490
1995-08-10,1995-05-11,1995-11-13,0.586824742182,0.48396219593,0.347616619809,0.521850671364,0.89544659082,0.830195710849,0.646922310805,0.836120225416,16,16,101,21,22,51,23,178,28,21,49,20,186,13,6,1958,1632,10483,1490,1725
1995-11-13,1995-08-10,1996-03-08,0.313247563884,0.308959297702,0.298915802907,0.292291061807,0.580145936671,0.562546626083,0.581564656813,0.552260889704,16,101,21,22,40,23,178,28,21,134,20,186,13,6,217,1632,10483,1490,1725,4416
1996-03-08,1995-11-13,1996-05-14,0.837680337974,0.330198326963,0.329591067093,0.31685463664,0.937449000733,0.634335089771,0.62116640715,0.56718513663,101,21,22,40,99,178,28,21,134,205,186,13,6,217,347,10483,1490,1725,4416,11862
1996-05-14,1996-03-08,1996-08-13,0.557124205578,0.453576186098,0.358997551473,0.401117727544,0.874677164266,0.78774595324,0.626228225817,0.688811530294,21,22,40,99,25,28,21,134,205,68,13,6,217,347,72,1490,1725,4416,11862,1919
1996-08-13,1996-05-14,1996-11-13,0.605559934175,0.337565368344,0.390587933308,0.645430304862,0.886437278445,0.60067064249,0.668886312311,0.884059796179,22,40,99,25,25,21,134,205,68,58,6,217,347,72,63,1725,4416,11862,1919,2180
1996-11-13,1996-08-13,1997-03-13,0.362240683296,0.389521610785,0.625145596084,0.65150315342,0.628465040785,0.678961234297,0.900899106037,0.894661203175,40,99,25,25,24,134,205,68,58,48,217,347,72,63,49,4416,11862,1919,2180,2139
1997-03-13,1996-11-13,1997-05-13,0.502597260319,0.25578832476,0.253599840061,0.264996506356,0.645573138546,0.503602889262,0.482342179984,0.487670732716,99,25,25,24,141,205,68,58,48,272,347,72,63,49,668,11862,1919,2180,2139,18270
1997-05-13,1997-03-13,1997-08-12,0.17768299714,0.164288622075,0.170439461599,0.906707033768,0.350233817167,0.323754564956,0.323305731801,0.920856138788,25,25,24,141,58,68,58,48,272,156,72,63,49,668,475,1919,2180,2139,18270,9058
1997-08-12,1997-05-13,1997-11-12,0.328060151887,0.284993551946,0.314098443313,0.255901354365,0.563104005176,0.53092991018,0.58224288225,0.491016006356,25,24,141,58,57,58,48,272,156,160,63,49,668,475,290,2180,2139,18270,9058,5968
1997-11-12,1997-08-12,1998-03-18,0.649414123527,0.286709493199,0.215193833476,0.358353555187,0.913244885635,0.539365580545,0.387890440688,0.583191728348,24,141,58,57,31,48,272,156,160,55,49,668,475,290,45,2139,18270,9058,5968,2363
1998-03-18,1997-11-12,1998-05-13,0.300748444892,0.128183253334,0.187315740886,0.242926732726,0.522708588802,0.294868855516,0.435250881405,0.541257332614,141,58,57,31,283,272,156,160,55,345,668,475,290,45,357,18270,9058,5968,2363,17701
1998-05-13,1998-03-18,1998-08-14,0.198393559202,0.307366113339,0.638552433869,0.244973504456,0.36385404694,0.557171855201,0.89896859614,0.540276317496,58,57,31,283,21,156,160,55,345,36,475,290,45,357,44,9058,5968,2363,17701,2040
1998-08-14,1998-05-13,1998-11-12,0.3300453222,0.56316277024,0.240541861442,0.688915032526,0.57914557354,0.865080285131,0.546996864831,0.898918877075,57,31,283,21,29,160,55,345,36,54,290,45,357,44,44,5968,2363,17701,2040,2671
1998-11-12,1998-08-14,1999-03-30,0.388544981919,0.21308476097,0.420977046721,0.466574013615,0.674481148352,0.491091934077,0.670959150003,0.683340489369,31,283,21,29,48,55,345,36,54,132,45,357,44,44,214,2363,17701,2040,2671,5116
1999-03-30,1998-11-12,1999-05-13,0.465318894618,0.443228075421,0.451955588227,0.337977424851,0.728015574379,0.728900829359,0.74228115485,0.599131787206,283,21,29,48,115,345,36,54,132,201,357,44,44,214,200,17701,2040,2671,5116,12588
1999-05-13,1999-03-30,1999-08-13,0.579279468339,0.55868438826,0.376512310016,0.513908101451,0.868979107472,0.842770274664,0.637021093789,0.774504180685,21,29,48,115,22,36,54,132,201,81,44,44,214,200,61,2040,2671,5116,12588,2926
1999-08-13,1999-05-13,1999-11-12,0.646131163209,0.353252456324,0.488941210776,0.745744427967,0.894469528629,0.620902085944,0.75579102542,0.914827341138,29,48,115,22,26,54,132,201,81,86,44,214,200,61,58,2671,5116,12588,2926,3259
1999-11-12,1999-08-13,2000-03-23,0.350780604096,0.283470926467,0.327271318337,0.330541810762,0.629558206468,0.473244822678,0.492790461287,0.486409685273,48,115,22,26,57,132,201,81,86,149,214,200,61,58,380,5116,12588,2926,3259,8153
2000-03-23,1999-11-12,2000-05-12,0.448189533008,0.257107014618,0.249923856623,0.841276164147,0.612053709762,0.478859806413,0.468617251484,0.913204235913,115,22,26,57,307,201,81,86,149,633,200,61,58,380,1395,12588,2926,3259,8153,33925
2000-05-12,2000-03-23,2000-08-14,0.479999957973,0.438580124108,0.234938177786,0.266204337957,0.815262051057,0.775029840414,0.448151646751,0.487089470679,22,26,57,307,46,81,86,149,633,58,61,58,380,1395,74,2926,3259,8153,33925,2876
2000-08-14,2000-05-12,2000-11-13,0.533994505955,0.212591554688,0.244457217861,0.696935171959,0.826355068822,0.421790277465,0.459253715678,0.894097923417,26,57,307,46,64,86,149,633,58,61,58,380,1395,74,71,3259,8153,33925,2876,3608
2000-11-13,2000-08-14,2001-03-28,0.287274023777,0.33557190322,0.649322047541,0.675268004731,0.548152292914,0.59406526989,0.865138826477,0.858966631131,57,307,46,64,81,149,633,58,61,118,380,1395,74,71,136,8153,33925,2876,3608,4439
2001-03-28,2000-11-13,2001-05-14,0.561246821797,0.447055543577,0.419234668752,0.477151917452,0.738015271825,0.720137269385,0.690683413234,0.754110258544,307,46,64,81,220,633,58,61,118,337,1395,74,71,136,444,33925,2876,3608,4439,20420
2001-05-14,2001-03-28,2001-05-22,0.681371647678,0.594870044357,0.576196561654,0.480860313603,0.903791069115,0.83852195828,0.816019350328,0.728603611971,46,64,81,220,63,58,61,118,337,80,74,71,136,444,74,2876,3608,4439,20420,3460
2001-05-22,2001-05-14,2001-08-13,0.093202100451,0.105929546992,0.107076543992,0.116872404311,0.28056064555,0.316196588022,0.295767625811,0.295280490252,64,81,220,63,3,61,118,337,80,9,71,136,444,74,16,3608,4439,20420,3460,482
2001-08-13,2001-05-22,2001-11-13,0.26922157591,0.338979623545,0.249396963311,0.0587706020582,0.49461025446,0.528209716617,0.399019426234,0.190522114995,81,220,63,3,150,118,337,80,9,296,136,444,74,16,808,4439,20420,3460,482,15838
2001-11-13,2001-08-13,2002-03-27,0.471324888338,0.75786680096,0.0913642159942,0.265688916587,0.722225955242,0.923960792978,0.249940128608,0.412150566658,220,63,3,150,59,337,80,9,296,113,444,74,16,808,82,20420,3460,482,15838,4359
2002-03-27,2001-11-13,2002-05-14,0.546715170435,0.101795651965,0.266497036451,0.556568186061,0.775873994125,0.269063505373,0.427421398032,0.775310340126,63,3,150,59,221,80,9,296,113,339,74,16,808,82,277,3460,482,15838,4359,18271
2002-05-14,2002-03-27,2002-08-13,0.110402526322,0.234924240893,0.734763231795,0.552090657343,0.286482938546,0.391473435797,0.920478328619,0.781793283785,3,150,59,221,51,9,296,113,339,123,16,808,82,277,82,482,15838,4359,18271,3756
2002-08-13,2002-05-14,2002-11-12,0.297813109509,0.563412455077,0.448783789588,0.580160566129,0.452800839332,0.792489022973,0.694866001802,0.798320764375,150,59,221,51,64,296,113,339,123,181,808,82,277,82,278,15838,4359,18271,3756,6631
2002-11-12,2002-08-13,2003-03-26,0.716639946663,0.512344903647,0.687386457609,0.585195678088,0.910667409369,0.752674220062,0.884055532035,0.787930845774,59,221,51,64,55,113,339,123,181,175,82,277,82,278,108,4359,18271,3756,6631,5520
2003-03-26,2002-11-12,2003-05-14,0.814808671628,0.493970707129,0.43334593766,0.514205022287,0.937780442388,0.747932061202,0.691200662172,0.749112811629,221,51,64,55,245,339,123,181,175,497,277,82,278,108,445,18271,3756,6631,5520,24258
