filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-11-09,1995-11-02,1996-03-28,0.58405511696,0.809536390707,0.841773932678,0.988030586516,0.791256309882,0.931545976391,0.923317348261,0.991518164532,317,78,88,89,89,1265,243,259,276,270,687,119,130,127,128,27112,5551,6097,6137,5781
1996-03-28,1995-11-09,1996-05-08,0.245077796467,0.242760969782,0.244094167031,0.236083626398,0.508291686323,0.495689401383,0.489802278103,0.479064679986,78,88,89,89,496,243,259,276,270,2016,119,130,127,128,2563,5551,6097,6137,5781,46724
1996-05-08,1996-03-28,1996-08-07,0.510922128682,0.534437472089,0.503680743874,0.224480570745,0.769255156174,0.788793618564,0.755518319472,0.453726193784,88,89,89,496,42,259,276,270,2016,122,130,127,128,2563,52,6097,6137,5781,46724,3288
1996-08-07,1996-05-08,1996-11-08,0.49568925462,0.465845911125,0.223034621813,0.746431102986,0.764343257977,0.732417632656,0.463620902296,0.902964636102,89,89,496,42,47,276,270,2016,122,124,127,128,2563,52,61,6137,5781,46724,3288,3664
1996-11-08,1996-08-07,1997-03-27,0.180070027953,0.214374409135,0.261980614801,0.28827161708,0.285413716737,0.415778341267,0.381615280228,0.408656262216,89,496,42,47,105,270,2016,122,124,281,128,2563,52,61,657,5781,46724,3288,3664,11733
1997-03-27,1996-11-08,1997-05-12,0.393123940526,0.474835801423,0.470564265215,0.280082919798,0.652290736665,0.724179799648,0.721449072823,0.43609036437,496,42,47,105,341,2016,122,124,281,617,2563,52,61,657,369,46724,3288,3664,11733,19964
1997-05-12,1997-03-27,1997-06-13,0.629608141498,0.59660488236,0.270724444848,0.506608201175,0.893808839271,0.855170033343,0.415318136549,0.74944947487,42,47,105,341,55,122,124,281,617,143,52,61,657,369,82,3288,3664,11733,19964,3865
1997-06-13,1997-05-12,1997-06-19,0.12840446918,0.156848467652,0.187523922323,0.128699704652,0.253627195279,0.305842248552,0.311316392752,0.256170413914,47,105,341,55,3,124,281,617,143,1,61,657,369,82,11,3664,11733,19964,3865,436
1997-06-19,1997-06-13,1997-08-07,0.156848467652,0.187523922323,0.128699704652,1.0,0.305842248552,0.311316392752,0.256170413914,1.0,105,341,55,3,3,281,617,143,1,1,657,369,82,11,11,11733,19964,3865,436,436
1997-08-07,1997-06-19,1997-11-12,0.492364366167,0.671445984437,0.156076187148,0.156076187148,0.779239633031,0.865902712128,0.31432955299,0.31432955299,341,55,3,3,82,617,143,1,1,161,369,82,11,11,93,19964,3865,436,436,5712
1997-11-12,1997-08-07,1997-12-02,0.327491109663,0.155088418597,0.155088418597,0.377595872098,0.454108111523,0.29385905593,0.29385905593,0.542561844943,55,3,3,82,230,143,1,1,161,354,82,11,11,93,762,3865,436,436,5712,13412
1997-12-02,1997-11-12,1997-12-03,0.227584589737,0.227584589737,0.182758603286,0.135577085049,0.462228733968,0.462228733968,0.296072439554,0.260456088125,3,3,82,230,2,1,1,161,354,47,11,11,93,762,49,436,436,5712,13412,431
1997-12-03,1997-12-02,1998-03-23,0.227584589737,0.182758603286,0.135577085049,1.0,0.462228733968,0.296072439554,0.260456088125,1.0,3,82,230,2,2,1,161,354,47,47,11,93,762,49,49,436,5712,13412,431,431
1998-03-23,1997-12-03,1998-05-13,0.460861828345,0.546901768048,0.142581397852,0.142581397852,0.739796375788,0.716813527451,0.268642153298,0.268642153298,82,230,2,2,314,161,354,47,47,585,93,762,49,49,654,5712,13412,431,431,24429
1998-05-13,1998-03-23,1998-08-13,0.33019381237,0.191217417451,0.191217417451,0.484740294061,0.470797725505,0.299070319156,0.299070319156,0.711805363307,230,2,2,314,75,354,47,47,585,158,762,49,49,654,73,13412,431,431,24429,4712
1998-08-13,1998-05-13,1998-08-14,0.154817462988,0.154817462988,0.470640974299,0.75859920468,0.268088231882,0.268088231882,0.695083964547,0.899652181902,2,2,314,75,75,47,47,585,158,212,49,49,654,73,74,431,431,24429,4712,5366
1998-08-14,1998-08-13,1998-11-10,0.19568661537,0.192546627356,0.276535644801,0.295774770894,0.456668876269,0.365224181367,0.437484432408,0.450665241843,2,314,75,75,4,47,585,158,212,11,49,654,73,74,8,431,24429,4712,5366,355
1998-11-10,1998-08-14,1999-03-22,0.444577221969,0.679904608987,0.738860676742,0.187753992554,0.697990614767,0.899121480998,0.905600543338,0.377549535206,314,75,75,4,80,585,158,212,11,221,654,73,74,8,74,24429,4712,5366,355,5548
1999-03-22,1998-11-10,1999-05-14,0.514172918136,0.534391516922,0.170821151777,0.546686239008,0.756744022487,0.755837466646,0.350542334671,0.771966431145,75,75,4,80,242,158,212,11,221,438,73,74,8,74,158,4712,5366,355,5548,19173
