filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-28,1994-11-09,1995-05-09,0.723906793917,0.370886225548,0.355750486104,0.357739521052,0.845710990604,0.565417334086,0.534962156552,0.540267136143,185,25,25,30,513,272,36,40,38,567,267,13,13,13,507,17748,2825,3124,3102,27529
1995-05-09,1995-03-28,1995-08-14,0.803780821153,0.650370805221,0.664953137025,0.361877312013,0.945227553502,0.832215745632,0.841298241947,0.556530555197,25,25,30,513,27,36,40,38,567,43,13,13,13,507,12,2825,3124,3102,27529,2805
1995-08-14,1995-05-09,1995-11-08,0.596041446914,0.500490766312,0.372428443953,0.512477752686,0.774588278895,0.702542166524,0.592191908427,0.697191983258,25,30,513,27,51,40,38,567,43,89,13,13,507,12,123,3124,3102,27529,2805,4847
1995-11-08,1995-08-14,1996-03-22,0.833155765089,0.353687463184,0.708567110779,0.548562253217,0.957532237223,0.535400354587,0.855040857865,0.719948178362,30,513,27,51,38,38,567,43,89,45,13,507,12,123,11,3102,27529,2805,4847,3188
1996-03-22,1995-11-08,1996-05-10,0.718708576108,0.467279878547,0.434599015011,0.456699674641,0.855112249679,0.685176066011,0.667803544041,0.656467787862,513,27,51,38,222,567,43,89,45,433,507,12,123,11,524,27529,2805,4847,3188,22194
1996-05-10,1996-03-22,1996-08-12,0.867872873847,0.483259292896,0.6729596748,0.48318389385,0.97247078336,0.697777129236,0.850421136923,0.70199266669,27,51,38,222,24,43,89,45,433,52,12,123,11,524,10,2805,4847,3188,22194,3080
1996-08-12,1996-05-10,1996-11-12,0.681323781306,0.577724883064,0.471438457889,0.601485578793,0.892578262098,0.778882829095,0.704257884675,0.773393994275,51,38,222,24,33,89,45,433,52,92,123,11,524,10,126,4847,3188,22194,3080,4861
1996-11-12,1996-08-12,1997-03-26,0.885873943454,0.457222693614,0.718442871083,0.617637940565,0.978813043696,0.654797046106,0.855747121124,0.786003636052,38,222,24,33,27,45,433,52,92,53,11,524,10,126,9,3188,22194,3080,4861,3340
1997-03-26,1996-11-12,1997-05-12,0.876202637835,0.507555942524,0.473325581578,0.484557964592,0.970948748148,0.719369244102,0.7012843775,0.673427540583,222,24,33,27,211,433,52,92,53,316,524,10,126,9,279,22194,3080,4861,3340,20037
1997-05-12,1997-03-26,1997-08-12,0.251735305811,0.251577863592,0.206825272869,0.288524267896,0.394901009944,0.44301482683,0.351405283441,0.473081419857,24,33,27,211,293,52,92,53,316,265,10,126,9,279,173,3080,4861,3340,20037,11442
1997-08-12,1997-05-12,1997-11-14,0.664357577964,0.654311807891,0.498768499572,0.211519698735,0.853189869018,0.834184608185,0.701650052576,0.359622316029,33,27,211,293,34,92,53,316,265,63,126,9,279,173,42,4861,3340,20037,11442,4416
1997-11-14,1997-08-12,1998-03-27,0.822089347571,0.501036577777,0.213564090949,0.762795136935,0.942683839898,0.69796611645,0.36011616382,0.896727996985,27,211,293,34,33,53,316,265,63,50,9,279,173,42,15,3340,20037,11442,4416,4075
1998-03-27,1997-11-14,1998-05-14,0.90186114594,0.277213309807,0.531743622725,0.532863397596,0.975174661925,0.464733879244,0.735516485169,0.731256490851,211,293,34,33,224,316,265,63,50,356,279,173,42,15,272,20037,11442,4416,4075,22273
1998-05-14,1998-03-27,1998-08-14,0.252899256639,0.66219308373,0.689025208442,0.583404243607,0.408592573889,0.850254332878,0.862452809876,0.77754987431,293,34,33,224,31,265,63,50,356,55,173,42,15,272,14,11442,4416,4075,22273,3824
1998-08-14,1998-05-14,1998-11-13,0.830918777909,0.662802072842,0.54969538277,0.688026901712,0.955668388247,0.853562514459,0.770757535639,0.858253550875,34,33,224,31,45,63,50,356,55,105,42,15,272,14,75,4416,4075,22273,3824,5451
