filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0,ticker,filedateobj,prevfiledateobj,nextfiledateobj,stockprice0,stockprice1,stockpricefuture,marketprice0,marketprice1,marketpricefuture,stockreturn0,stockreturnfuture,marketreturn0,marketreturnfuture,beatmarket0,beatmarketfuture
1/7/2015,10/7/2014,4/7/2015,0.820549654,0.96653107,0.961794389,0.977131723,0.868348787,0.964978758,0.949616162,0.974677158,761,519,1058,415,511,1183,1151,2392,811,911,1643,1073,2631,998,1019,60915,53326,111977,46835,51551,NKE,1/7/2015,10/7/2014,4/7/2015,94.87,88.07,99.61,2025.900024,1935.099976,2076.330078,0.074375581,0.048755028,0.045855066,0.024587892,TRUE,TRUE
1/8/2015,10/2/2014,4/8/2015,0.829560956,0.865160312,0.761370662,0.912470906,0.869139461,0.928312062,0.814302473,0.952763514,841,492,1187,276,407,2736,1913,4240,969,1187,3105,2798,7918,1732,1679,83456,76001,163214,52999,62017,GPN,1/8/2015,10/2/2014,4/8/2015,84.78,72.25,98.61,2062.139893,1946.170044,2081.899902,0.159927339,0.15111301,0.057880865,0.009536665,TRUE,TRUE
1/8/2015,10/8/2014,4/24/2015,0.820143151,0.81717079,0.838143335,0.835552468,0.842849752,0.834153472,0.858759441,0.856832636,1093,829,427,411,716,2098,1465,1232,1237,2653,2262,2013,1459,1473,3718,89684,70320,52547,53894,87259,KMX,1/8/2015,10/8/2014,4/24/2015,66.09,47.42,69.97,2062.139893,1968.890015,2117.689941,0.331973369,0.057049129,0.046274287,0.026581617,TRUE,TRUE
1/8/2015,10/29/2014,4/2/2015,0.977446554,0.975431918,0.975770702,0.940534802,0.985393295,0.982194498,0.98275491,0.949862618,669,817,854,2349,705,1452,1576,1603,3454,1494,2004,2003,2067,4141,1920,64987,66878,68480,159294,63183,MON,1/8/2015,10/29/2014,4/2/2015,119.19,112.18,116.3,2062.139893,1982.300049,2066.959961,0.060614134,-0.024545799,0.039486415,0.002334683,TRUE,FALSE
1/8/2015,9/29/2014,4/28/2015,0.967680222,0.905734288,0.951615857,0.933948148,0.976170299,0.903762142,0.961940948,0.946541428,533,1161,469,584,614,1318,2510,1241,1438,1406,1398,3573,1302,1542,1546,54956,123321,52445,60734,69038,RHT,1/8/2015,9/29/2014,4/28/2015,69.03,55.49,76.56,2062.139893,1977.800049,2114.76001,0.218338368,0.103533554,0.041759086,0.025197109,TRUE,TRUE
1/8/2015,10/9/2014,4/28/2015,0.97830352,0.968182874,0.919760912,0.986123917,0.985003923,0.958281983,0.912078067,0.986695973,940,1317,1030,739,730,1956,2700,2397,1648,1681,3111,3741,4900,2338,2608,90993,141000,109783,74215,79384,STZ,1/8/2015,10/9/2014,4/28/2015,107.64,86.38,117.12,2062.139893,1928.209961,2114.76001,0.220036158,0.084406724,0.067152135,0.025197109,TRUE,TRUE
1/9/2015,10/29/2014,4/1/2015,0.723086107,0.963717266,0.966763524,0.949549462,0.822388154,0.973668256,0.974139881,0.951262864,679,438,423,1194,437,749,862,838,1980,1063,1882,1328,1131,2761,1678,52431,46820,44853,102252,47997,AYI,1/9/2015,10/29/2014,4/1/2015,151.5,137.96,168.09,2044.810059,1982.300049,2059.689941,0.093621837,0.103913925,0.031047093,0.007250553,TRUE,TRUE
1/9/2015,10/10/2014,4/2/2015,0.968174327,0.955048436,0.889880342,0.974722874,0.977514554,0.964430792,0.928557341,0.9792555,172,157,499,246,295,774,838,1619,908,1021,1409,1442,2357,1405,1410,43144,44035,84555,43971,47153,CTAS,1/9/2015,10/10/2014,4/2/2015,77.12,68.56,82.69,2044.810059,1906.130005,2066.959961,0.117653376,0.069736025,0.070229893,0.010774005,TRUE,TRUE
1/9/2015,10/27/2014,4/10/2015,0.963782916,0.930141599,0.968604534,0.958929765,0.974153263,0.946016068,0.9752585,0.964569169,494,715,533,857,453,2330,2747,2366,2571,1654,2543,3999,2601,2944,1967,77164,92415,78573,104682,65167,MU,1/9/2015,10/27/2014,4/10/2015,33.525,32.3,28.02,2044.810059,1961.630005,2102.060059,0.037224199,-0.179372888,0.041529142,0.02761294,FALSE,FALSE
1/20/2015,9/25/2014,3/25/2015,0.984380993,0.958410834,0.962066866,0.954924255,0.989744305,0.959535091,0.960656565,0.953691334,1465,729,773,804,1633,2799,1781,1830,1867,3093,2655,1599,1621,1644,3304,114872,61179,62920,65188,126951,ADBE,1/20/2015,9/25/2014,3/25/2015,71.49,67.71,73.13,2022.550049,1965.98999,2061.050049,0.0543237,0.0226811,0.028363186,0.01885647,TRUE,TRUE
